"fed_state","species_cleaned","common_name","rl_cat","species_naturadb"
"Baden-Württemberg","Acer opalus","Schneeballblättriger Ahorn","R","acer-opalus"
"Baden-Württemberg","Aceras anthropophorum","Ohnsporn","2","aceras-anthropophorum"
"Baden-Württemberg","Achillea nobilis","Edel-Schafgarbe","3","achillea-nobilis"
"Baden-Württemberg","Aconitum napellus ssp. lusitanicum","Neuberger Eisenhut","V","aconitum-napellus"
"Baden-Württemberg","Aconitum variegatum","Gescheckter Eisenhut","V","aconitum-variegatum"
"Baden-Württemberg","Adenostyles glabra","Kahler Alpendost","0","adenostyles-glabra"
"Baden-Württemberg","Adonis aestivalis","Sommer-Adonisröschen","3","adonis-aestivalis"
"Baden-Württemberg","Adonis flammea","Flammen-Adonisröschen","1","adonis-flammea"
"Baden-Württemberg","Agrostemma githago","Kornrade","1","agrostemma-githago"
"Baden-Württemberg","Agrostis vinealis","Sand-Straußgras","V","agrostis-vinealis"
"Baden-Württemberg","Aira caryophyllea","Nelken-Schmielenhafer","3","aira-caryophyllea"
"Baden-Württemberg","Aira praecox","Früher Schmielenhafer","3","aira-praecox"
"Baden-Württemberg","Ajuga chamaepitys","Gelber Günsel","2","ajuga-chamaepitys"
"Baden-Württemberg","Ajuga pyramidalis","Pyramiden-Günsel","R","ajuga-pyramidalis"
"Baden-Württemberg","Alchemilla connivens","Zusammenneigender Frauenmantel","G","alchemilla-connivens"
"Baden-Württemberg","Alchemilla coriacea","Leder-Frauenmantel","G","alchemilla-coriacea"
"Baden-Württemberg","Alchemilla crinita","Borstiger Frauenmantel","R","alchemilla-crinita"
"Baden-Württemberg","Alchemilla glaucescens","Filz-Frauenmantel","3","alchemilla-glaucescens"
"Baden-Württemberg","Alchemilla hoppeana","Hoppes Frauenmantel","R","alchemilla-hoppeana"
"Baden-Württemberg","Alchemilla reniformis","Nierenblättriger Frauenmantel","G","alchemilla-reniformis"
"Baden-Württemberg","Alchemilla strigosula","Gestriegelter Frauenmantel","V","alchemilla-strigosula"
"Baden-Württemberg","Alisma gramineum","Gras-Froschlöffel","V","alisma-gramineum"
"Baden-Württemberg","Allium angulosum","Kanten-Lauch","3","allium-angulosum"
"Baden-Württemberg","Allium carinatum","Gekielter Lauch","3","allium-carinatum"
"Baden-Württemberg","Allium rotundum","Runder Lauch","2","allium-rotundum"
"Baden-Württemberg","Allium schoenoprasum","Schnittlauch","V","allium-schoenoprasum"
"Baden-Württemberg","Allium scorodoprasum","Wilder Lauch","V","allium-scorodoprasum"
"Baden-Württemberg","Allium senescens ssp. montanum","Berg-Lauch","3","allium-senescens"
"Baden-Württemberg","Allium sphaerocephalon","Kugel-Lauch","3","allium-sphaerocephalon"
"Baden-Württemberg","Allium suaveolens","Wohlriechender Lauch","3","allium-suaveolens"
"Baden-Württemberg","Allium victorialis","Allermannsharnisch","1","allium-victorialis"
"Baden-Württemberg","Alnus alnobetula","Grün-Erle","V","alnus-alnobetula"
"Baden-Württemberg","Alopecurus rendlei","Aufgeblasener Fuchsschwanz","0","alopecurus-rendlei"
"Baden-Württemberg","Althaea hirsuta","Rauher Eibisch","2","althaea-hirsuta"
"Baden-Württemberg","Althaea officinalis","Echter Eibisch","2","althaea-officinalis"
"Baden-Württemberg","Alyssum alyssoides","Kelch-Steinkraut","3","alyssum-alyssoides"
"Baden-Württemberg","Alyssum montanum ssp. gmelinii","Dünen-Steinkraut","1","alyssum-montanum"
"Baden-Württemberg","Alyssum montanum ssp. montanum","Berg-Steinkraut (i.e.S.)","V","alyssum-montanum"
"Baden-Württemberg","Amaranthus graecizans ssp. sylvestris","Wilder Fuchsschwanz","2","amaranthus-graecizans"
"Baden-Württemberg","Ambrosia trifida","Dreilappige Ambrosie","2","ambrosia-trifida"
"Baden-Württemberg","Anacamptis pyramidalis","Hundswurz","3","anacamptis-pyramidalis"
"Baden-Württemberg","Anagallis foemina","Blauer Gauchheil","3","anagallis-foemina"
"Baden-Württemberg","Anagallis minima","Kleinling","3","anagallis-minima"
"Baden-Württemberg","Anagallis tenella","Zarter Gauchheil","1","anagallis-tenella"
"Baden-Württemberg","Anchusa officinalis","Gewöhnliche Ochsenzunge","3","anchusa-officinalis"
"Baden-Württemberg","Andromeda polifolia","Rosmarinheide","3","andromeda-polifolia"
"Baden-Württemberg","Androsace lactea","Milchweißer Mannsschild","1","androsace-lactea"
"Baden-Württemberg","Androsace septentrionalis","Nordischer Mannsschild","0","androsace-septentrionalis"
"Baden-Württemberg","Anemone narcissiflora","Narzissen-Windröschen","3","anemone-narcissiflora"
"Baden-Württemberg","Anemone sylvestris","Großes Windröschen","2","anemone-sylvestris"
"Baden-Württemberg","Antennaria dioica","Gewöhnliches Katzenpfötchen","2","antennaria-dioica"
"Baden-Württemberg","Anthemis arvensis","Acker-Hundskamille","V","anthemis-arvensis"
"Baden-Württemberg","Anthemis cotula","Stinkende Hundskamille","G","anthemis-cotula"
"Baden-Württemberg","Anthemis tinctoria","Färber-Hundskamille","3","anthemis-tinctoria"
"Baden-Württemberg","Anthericum liliago","Traubige Graslilie","3","anthericum-liliago"
"Baden-Württemberg","Anthericum ramosum","Ästige Graslilie","V","anthericum-ramosum"
"Baden-Württemberg","Anthoxanthum alpinum","Alpen-Ruchgras","V","anthoxanthum-alpinum"
"Baden-Württemberg","Anthoxanthum aristatum","Grannen-Ruchgras","2","anthoxanthum-aristatum"
"Baden-Württemberg","Anthriscus sylvestris ssp. stenophyllus","Schmalzipfeliger Wiesen-Kerbel","R","anthriscus-sylvestris"
"Baden-Württemberg","Anthyllis vulneraria ssp. alpestris","Gebirgs-Wundklee","G","anthyllis-vulneraria"
"Baden-Württemberg","Anthyllis vulneraria ssp. carpatica","Karpaten-Wundklee","V","anthyllis-vulneraria"
"Baden-Württemberg","Aphanes inexspectata","Kleinfrüchtiger Ackerfrauenmantel","V","aphanes-inexspectata"
"Baden-Württemberg","Apium graveolens","Echter Sellerie","1","apium-graveolens"
"Baden-Württemberg","Apium nodiflorum","Knotenblütiger Sellerie","3","apium-nodiflorum"
"Baden-Württemberg","Apium repens","Kriechender Sellerie","1","apium-repens"
"Baden-Württemberg","Aposeris foetida","Stinkender Hainlattich","R","aposeris-foetida"
"Baden-Württemberg","Aquilegia atrata","Schwarze Akelei","V","aquilegia-atrata"
"Baden-Württemberg","Aquilegia vulgaris","Gewöhnliche Akelei","V","aquilegia-vulgaris"
"Baden-Württemberg","Arabis alpina","Alpen-Gänsekresse","2","arabis-alpina"
"Baden-Württemberg","Arabis auriculata","Öhrchen-Gänsekresse","3","arabis-auriculata"
"Baden-Württemberg","Arabis ciliata","Doldige Gänsekresse","0","arabis-ciliata"
"Baden-Württemberg","Arabis nemorensis","Hain-Gänsekresse","2","arabis-nemorensis"
"Baden-Württemberg","Arabis pauciflora","Armblütige Gänsekresse","V","arabis-pauciflora"
"Baden-Württemberg","Arabis turrita","Turm-Gänsekresse","V","arabis-turrita"
"Baden-Württemberg","Arctostaphylos uva-ursi","Arznei-Bärentraube","1","arctostaphylos-uva-ursi"
"Baden-Württemberg","Aremonia agrimonoides","Aremonie","3","aremonia-agrimonoides"
"Baden-Württemberg","Aristolochia clematitis","Gewöhnliche Osterluzei","V","aristolochia-clematitis"
"Baden-Württemberg","Armeria purpurea","Purpur-Grasnelke","0","armeria-purpurea"
"Baden-Württemberg","Armeria vulgaris","Gewöhnliche Grasnelke","1","armeria-vulgaris"
"Baden-Württemberg","Arnica montana","Berg-Wohlverleih","2","arnica-montana"
"Baden-Württemberg","Arnoseris minima","Lämmersalat","1","arnoseris-minima"
"Baden-Württemberg","Artemisia campestris","Feld-Beifuß","V","artemisia-campestris"
"Baden-Württemberg","Artemisia pontica","Pontischer Beifuß","1","artemisia-pontica"
"Baden-Württemberg","Asperugo procumbens","Scharfkraut","2","asperugo-procumbens"
"Baden-Württemberg","Asperula arvensis","Acker-Meister","0","asperula-arvensis"
"Baden-Württemberg","Asperula tinctoria","Färber-Meister","2","asperula-tinctoria"
"Baden-Württemberg","Asplenium adiantum-nigrum","Schwarzer Strichfarn","3","asplenium-adiantum-nigrum"
"Baden-Württemberg","Asplenium ceterach","Milzfarn","2","asplenium-ceterach"
"Baden-Württemberg","Asplenium fontanum","Jura-Strichfarn","R","asplenium-fontanum"
"Baden-Württemberg","Asplenium obovatum ssp. lanceolatum","Billots Strichfarn","R","asplenium-obovatum"
"Baden-Württemberg","Asplenium septentrionale","Nordischer Strichfarn","V","asplenium-septentrionale"
"Baden-Württemberg","Aster amellus","Kalk-Aster","V","aster-amellus"
"Baden-Württemberg","Aster bellidiastrum","Alpenmaßliebchen","V","aster-bellidiastrum"
"Baden-Württemberg","Aster linosyris","Gold-Aster","3","aster-linosyris"
"Baden-Württemberg","Astragalus cicer","Kicher-Tragant","3","astragalus-cicer"
"Baden-Württemberg","Astragalus danicus","Dänischer Tragant","0","astragalus-danicus"
"Baden-Württemberg","Athamanta cretensis","Augenwurz","2","athamanta-cretensis"
"Baden-Württemberg","Bartsia alpina","Alpenhelm","V","bartsia-alpina"
"Baden-Württemberg","Bassia laniflora","Sand-Radmelde","1","bassia-laniflora"
"Baden-Württemberg","Betula humilis","Strauch-Birke","2","betula-humilis"
"Baden-Württemberg","Betula nana","Zwerg-Birke","1","betula-nana"
"Baden-Württemberg","Bidens cernuus","Nickender Zweizahn","3","bidens-cernuus"
"Baden-Württemberg","Bidens radiatus","Strahlen-Zweizahn","3","bidens-radiatus"
"Baden-Württemberg","Bifora radians","Strahlender Hohlsame","2","bifora-radians"
"Baden-Württemberg","Biscutella laevigata ssp. varia","Elsässer Brillenschötchen","3","biscutella-laevigata"
"Baden-Württemberg","Blackstonia acuminata","Später Bitterling","2","blackstonia-acuminata"
"Baden-Württemberg","Blackstonia perfoliata","Durchwachsenblättriger Bitterling","2","blackstonia-perfoliata"
"Baden-Württemberg","Blysmus compressus","Flache Quellsimse","2","blysmus-compressus"
"Baden-Württemberg","Bothriochloa ischoemum","Bartgras","3","bothriochloa-ischoemum"
"Baden-Württemberg","Botrychium lunaria","Echte Mondraute","2","botrychium-lunaria"
"Baden-Württemberg","Botrychium matricariifolium","Ästige Mondraute","2","botrychium-matricariifolium"
"Baden-Württemberg","Botrychium multifidum","Vielteilige Mondraute","0","botrychium-multifidum"
"Baden-Württemberg","Botrychium simplex","Einfache Mondraute","0","botrychium-simplex"
"Baden-Württemberg","Bromus arvensis","Acker-Trespe","3","bromus-arvensis"
"Baden-Württemberg","Bromus grossus","Spelz-Trespe","2","bromus-grossus"
"Baden-Württemberg","Bromus racemosus","Traubige Trespe","3","bromus-racemosus"
"Baden-Württemberg","Bromus secalinus","Roggen-Trespe","3","bromus-secalinus"
"Baden-Württemberg","Bromus squarrosus","Sparrige Trespe","R","bromus-squarrosus"
"Baden-Württemberg","Bryonia alba","Weiße Zaunrübe","R","bryonia-alba"
"Baden-Württemberg","Bunium bulbocastanum","Knollenkümmel","2","bunium-bulbocastanum"
"Baden-Württemberg","Buphthalmum salicifolium","Weidenblättriges Ochsenauge","V","buphthalmum-salicifolium"
"Baden-Württemberg","Bupleurum longifolium","Langblättriges Hasenohr","V","bupleurum-longifolium"
"Baden-Württemberg","Bupleurum rotundifolium","Rundblättriges Hasenohr","1","bupleurum-rotundifolium"
"Baden-Württemberg","Calamagrostis phragmitoides","Purpur-Reitgras","R","calamagrostis-phragmitoides"
"Baden-Württemberg","Calamagrostis pseudophragmites","Ufer-Reitgras","2","calamagrostis-pseudophragmites"
"Baden-Württemberg","Calamagrostis stricta","Moor-Reitgras","2","calamagrostis-stricta"
"Baden-Württemberg","Calamagrostis varia","Buntes Reitgras","V","calamagrostis-varia"
"Baden-Württemberg","Calamintha menthifolia","Wald-Bergminze","V","calamintha-menthifolia"
"Baden-Württemberg","Calendula arvensis","Acker-Ringelblume","1","calendula-arvensis"
"Baden-Württemberg","Calepina irregularis","Wendich","0","calepina-irregularis"
"Baden-Württemberg","Calla palustris","Schlangenwurz","2","calla-palustris"
"Baden-Württemberg","Camelina alyssum","Gezähnter Leindotter","0","camelina-alyssum"
"Baden-Württemberg","Camelina microcarpa","Kleinfrüchtiger Leindotter","3","camelina-microcarpa"
"Baden-Württemberg","Camelina sativa","Saat-Leindotter","G","camelina-sativa"
"Baden-Württemberg","Campanula barbata","Bärtige Glockenblume","0","campanula-barbata"
"Baden-Württemberg","Campanula baumgartenii","Lanzenblättrige Glockenblume","0","campanula-baumgartenii"
"Baden-Württemberg","Campanula cervicaria","Borstige Glockenblume","2","campanula-cervicaria"
"Baden-Württemberg","Campanula cochleariifolia","Zwerg-Glockenblume","3","campanula-cochleariifolia"
"Baden-Württemberg","Campanula glomerata","Büschel-Glockenblume","V","campanula-glomerata"
"Baden-Württemberg","Campanula rhomboidalis","Rautenblättrige Glockenblume","R","campanula-rhomboidalis"
"Baden-Württemberg","Campanula scheuchzeri","Scheuchzers Glockenblume","V","campanula-scheuchzeri"
"Baden-Württemberg","Cardamine enneaphyllos","Neunblättrige Zahnwurz","R","cardamine-enneaphyllos"
"Baden-Württemberg","Cardaminopsis halleri","Wiesen-Schaumkresse","R","cardaminopsis-halleri"
"Baden-Württemberg","Carduus acanthoides","Weg-Distel","V","carduus-acanthoides"
"Baden-Württemberg","Carduus defloratus","Alpen-Distel","V","carduus-defloratus"
"Baden-Württemberg","Carex appropinquata","Schwarzkopf-Segge","3","carex-appropinquata"
"Baden-Württemberg","Carex bohemica","Zypergras-Segge","3","carex-bohemica"
"Baden-Württemberg","Carex brachystachys","Kurzährige Segge","R","carex-brachystachys"
"Baden-Württemberg","Carex brunnescens","Bräunliche Segge","0","carex-brunnescens"
"Baden-Württemberg","Carex buxbaumii","Moor-Segge","2","carex-buxbaumii"
"Baden-Württemberg","Carex canescens","Grau-Segge","V","carex-canescens"
"Baden-Württemberg","Carex capitata","Kopf-Segge","0","carex-capitata"
"Baden-Württemberg","Carex cespitosa","Rasen-Segge","3","carex-cespitosa"
"Baden-Württemberg","Carex chordorrhiza","Fadenwurzel-Segge","2","carex-chordorrhiza"
"Baden-Württemberg","Carex davalliana","Davalls Segge","3","carex-davalliana"
"Baden-Württemberg","Carex diandra","Draht-Segge","2","carex-diandra"
"Baden-Württemberg","Carex dioica","Zweihäusige Segge","2","carex-dioica"
"Baden-Württemberg","Carex distans","Lücken-Segge","3","carex-distans"
"Baden-Württemberg","Carex echinata","Stern-Segge","V","carex-echinata"
"Baden-Württemberg","Carex elongata","Walzen-Segge","V","carex-elongata"
"Baden-Württemberg","Carex ericetorum","Heide-Segge","2","carex-ericetorum"
"Baden-Württemberg","Carex flava","Echte Gelbsegge","V","carex-flava"
"Baden-Württemberg","Carex frigida","Eis-Segge","V","carex-frigida"
"Baden-Württemberg","Carex halleriana","Grundblütige Segge","R","carex-halleriana"
"Baden-Württemberg","Carex hartmanii","Hartmans Segge","2","carex-hartmanii"
"Baden-Württemberg","Carex heleonastes","Torf-Segge","0","carex-heleonastes"
"Baden-Württemberg","Carex hostiana","Saum-Segge","2","carex-hostiana"
"Baden-Württemberg","Carex humilis","Erd-Segge","V","carex-humilis"
"Baden-Württemberg","Carex lasiocarpa","Faden-Segge","3","carex-lasiocarpa"
"Baden-Württemberg","Carex lepidocarpa","Schuppenfrüchtige Gelbsegge","3","carex-lepidocarpa"
"Baden-Württemberg","Carex limosa","Schlamm-Segge","2","carex-limosa"
"Baden-Württemberg","Carex microglochin","Grannen-Segge","0","carex-microglochin"
"Baden-Württemberg","Carex nigra","Braune Segge","V","carex-nigra"
"Baden-Württemberg","Carex pauciflora","Armblütige Segge","2","carex-pauciflora"
"Baden-Württemberg","Carex praecox","Frühe Segge","3","carex-praecox"
"Baden-Württemberg","Carex pseudocyperus","Scheinzypergras-Segge","V","carex-pseudocyperus"
"Baden-Württemberg","Carex pulicaris","Floh-Segge","2","carex-pulicaris"
"Baden-Württemberg","Carex sempervirens","Immergrüne Segge","3","carex-sempervirens"
"Baden-Württemberg","Carex supina","Steppen-Segge","1","carex-supina"
"Baden-Württemberg","Carex tomentosa","Filz-Segge","3","carex-tomentosa"
"Baden-Württemberg","Carex viridula","Späte Gelbsegge","3","carex-viridula"
"Baden-Württemberg","Carex vulpina","Echte Fuchssegge","V","carex-vulpina"
"Baden-Württemberg","Carlina acaulis ssp. caulescens","Hochstengelige Eberwurz","V","carlina-acaulis"
"Baden-Württemberg","Catabrosa aquatica","Quellgras","2","catabrosa-aquatica"
"Baden-Württemberg","Caucalis platycarpos","Möhren-Haftdolde","2","caucalis-platycarpos"
"Baden-Württemberg","Centaurea calcitrapa","Stern-Flockenblume","0","centaurea-calcitrapa"
"Baden-Württemberg","Centaurea pseudophrygia","Perücken-Flockenblume","3","centaurea-pseudophrygia"
"Baden-Württemberg","Centaurium pulchellum","Kleines Tausendgüldenkraut","3","centaurium-pulchellum"
"Baden-Württemberg","Cephalanthera longifolia","Schwertblättriges Waldvöglein","V","cephalanthera-longifolia"
"Baden-Württemberg","Cephalanthera rubra","Rotes Waldvöglein","V","cephalanthera-rubra"
"Baden-Württemberg","Cerastium brachypetalum","Kleinblütiges Hornkraut","V","cerastium-brachypetalum"
"Baden-Württemberg","Cerastium dubium","Klebriges Hornkraut","0","cerastium-dubium"
"Baden-Württemberg","Ceratocephala falcata","Sichel-Hornköpfchen","0","ceratocephala-falcata"
"Baden-Württemberg","Ceratophyllum submersum","Zartes Hornblatt","3","ceratophyllum-submersum"
"Baden-Württemberg","Cerinthe alpina","Alpen-Wachsblume","1","cerinthe-alpina"
"Baden-Württemberg","Chenopodium bonus-henricus","Guter Heinrich","V","chenopodium-bonus-henricus"
"Baden-Württemberg","Chenopodium glaucum","Graugrüner Gänsefuß","V","chenopodium-glaucum"
"Baden-Württemberg","Chenopodium murale","Mauer-Gänsefuß","1","chenopodium-murale"
"Baden-Württemberg","Chenopodium opulifolium","Schneeballblättriger Gänsefuß","G","chenopodium-opulifolium"
"Baden-Württemberg","Chenopodium rubrum","Roter Gänsefuß","3","chenopodium-rubrum"
"Baden-Württemberg","Chenopodium striatiforme","Kleinblättriger Gänsefuß","3","chenopodium-striatiforme"
"Baden-Württemberg","Chenopodium urbicum","Straßen-Gänsefuß","0","chenopodium-urbicum"
"Baden-Württemberg","Chenopodium vulvaria","Stinkender Gänsefuß","1","chenopodium-vulvaria"
"Baden-Württemberg","Chimaphila umbellata","Winterlieb","0","chimaphila-umbellata"
"Baden-Württemberg","Chlorocrepis staticifolia","Grasnelken-Habichtskraut","0","chlorocrepis-staticifolia"
"Baden-Württemberg","Chondrilla chondrilloides","Alpen-Knorpelsalat","0","chondrilla-chondrilloides"
"Baden-Württemberg","Chondrilla juncea","Binsen-Knorpelsalat","3","chondrilla-juncea"
"Baden-Württemberg","Chrysanthemum segetum","Saat-Wucherblume","0","chrysanthemum-segetum"
"Baden-Württemberg","Cicendia filiformis","Fadenenzian","0","cicendia-filiformis"
"Baden-Württemberg","Cicerbita plumieri","Französischer Milchlattich","1","cicerbita-plumieri"
"Baden-Württemberg","Cicuta virosa","Wasserschierling","2","cicuta-virosa"
"Baden-Württemberg","Cirsium acaule","Stengellose Kratzdistel","V","cirsium-acaule"
"Baden-Württemberg","Cirsium rivulare","Bach-Kratzdistel","V","cirsium-rivulare"
"Baden-Württemberg","Cirsium tuberosum","Knollige Kratzdistel","3","cirsium-tuberosum"
"Baden-Württemberg","Cladium mariscus","Schneide","3","cladium-mariscus"
"Baden-Württemberg","Cochlearia pyrenaica","Pyrenäen-Löffelkraut","2","cochlearia-pyrenaica"
"Baden-Württemberg","Coeloglossum viride","Hohlzunge","2","coeloglossum-viride"
"Baden-Württemberg","Colutea arborescens","Gewöhnlicher Blasenstrauch","2","colutea-arborescens"
"Baden-Württemberg","Conium maculatum","Gefleckter Schierling","3","conium-maculatum"
"Baden-Württemberg","Conringia orientalis","Orientalischer Ackerkohl","1","conringia-orientalis"
"Baden-Württemberg","Consolida regalis","Acker-Rittersporn","V","consolida-regalis"
"Baden-Württemberg","Corallorrhiza trifida","Korallenwurz","V","corallorrhiza-trifida"
"Baden-Württemberg","Corispermum leptopterum","Schmalflügeliger Wanzensame","V","corispermum-leptopterum"
"Baden-Württemberg","Corispermum marschallii","Grauer Wanzensame","1","corispermum-marschallii"
"Baden-Württemberg","Coronilla coronata","Berg-Kronwicke","V","coronilla-coronata"
"Baden-Württemberg","Coronilla vaginalis","Scheiden-Kronwicke","3","coronilla-vaginalis"
"Baden-Württemberg","Coronopus squamatus","Niederliegender Krähenfuß","3","coronopus-squamatus"
"Baden-Württemberg","Corrigiola litoralis","Hirschsprung","1","corrigiola-litoralis"
"Baden-Württemberg","Corydalis intermedia","Mittlerer Lerchensporn","V","corydalis-intermedia"
"Baden-Württemberg","Corynephorus canescens","Silbergras","3","corynephorus-canescens"
"Baden-Württemberg","Cotoneaster tomentosus","Filzige Zwergmispel","3","cotoneaster-tomentosus"
"Baden-Württemberg","Crepis alpestris","Alpen-Pippau","3","crepis-alpestris"
"Baden-Württemberg","Crepis foetida","Stink-Pippau","3","crepis-foetida"
"Baden-Württemberg","Crepis mollis","Weichhaariger Pippau","3","crepis-mollis"
"Baden-Württemberg","Crepis praemorsa","Abbiß-Pippau","2","crepis-praemorsa"
"Baden-Württemberg","Crepis pulchra","Schöner Pippau","V","crepis-pulchra"
"Baden-Württemberg","Crepis pyrenaica","Schabenkraut-Pippau","R","crepis-pyrenaica"
"Baden-Württemberg","Crepis setosa","Borsten-Pippau","V","crepis-setosa"
"Baden-Württemberg","Crepis tectorum","Mauer-Pippau","2","crepis-tectorum"
"Baden-Württemberg","Crocus albiflorus","Weißer Safran","1","crocus-albiflorus"
"Baden-Württemberg","Cryptogramma crispa","Krauser Rollfarn","2","cryptogramma-crispa"
"Baden-Württemberg","Cucubalus baccifer","Hühnerbiß","R","cucubalus-baccifer"
"Baden-Württemberg","Cuscuta epilinum","Flachs-Seide","0","cuscuta-epilinum"
"Baden-Württemberg","Cuscuta epithymum","Thymian-Seide","V","cuscuta-epithymum"
"Baden-Württemberg","Cynoglossum germanicum","Wald-Hundszunge","3","cynoglossum-germanicum"
"Baden-Württemberg","Cyperus flavescens","Gelbes Zypergras","2","cyperus-flavescens"
"Baden-Württemberg","Cyperus fuscus","Braunes Zypergras","V","cyperus-fuscus"
"Baden-Württemberg","Cyperus longus","Langes Zypergras","0","cyperus-longus"
"Baden-Württemberg","Cypripedium calceolus","Frauenschuh","3","cypripedium-calceolus"
"Baden-Württemberg","Cystopteris dickieana","Dickies Blasenfarn","R","cystopteris-dickieana"
"Baden-Württemberg","Cystopteris montana","Berg-Blasenfarn","R","cystopteris-montana"
"Baden-Württemberg","Cytisus nigricans","Schwarzwerdender Geißklee","V","cytisus-nigricans"
"Baden-Württemberg","Dactylorhiza incarnata","Fleischrotes Knabenkraut","3","dactylorhiza-incarnata"
"Baden-Württemberg","Dactylorhiza majalis","Breitblättriges Knabenkraut","3","dactylorhiza-majalis"
"Baden-Württemberg","Dactylorhiza ochroleuca","Hellgelbes Knabenkraut","2","dactylorhiza-ochroleuca"
"Baden-Württemberg","Dactylorhiza sambucina","Holunder-Knabenkraut","2","dactylorhiza-sambucina"
"Baden-Württemberg","Dactylorhiza traunsteineri","Traunsteiners Knabenkraut","2","dactylorhiza-traunsteineri"
"Baden-Württemberg","Daphne cneorum","Heideröschen","2","daphne-cneorum"
"Baden-Württemberg","Daphne laureola","Lorbeer-Seidelbast","R","daphne-laureola"
"Baden-Württemberg","Deschampsia littoralis","Strand-Schmiele","1","deschampsia-littoralis"
"Baden-Württemberg","Deschampsia media","Binsen-Schmiele","1","deschampsia-media"
"Baden-Württemberg","Descurainia sophia","Sophienkraut","3","descurainia-sophia"
"Baden-Württemberg","Dianthus armeria","Büschel-Nelke","V","dianthus-armeria"
"Baden-Württemberg","Dianthus carthusianorum","Karthäuser-Nelke","V","dianthus-carthusianorum"
"Baden-Württemberg","Dianthus deltoides","Heide-Nelke","3","dianthus-deltoides"
"Baden-Württemberg","Dianthus gratianopolitanus","Pfingst-Nelke","3","dianthus-gratianopolitanus"
"Baden-Württemberg","Dianthus superbus","Pracht-Nelke","3","dianthus-superbus"
"Baden-Württemberg","Dianthus sylvaticus","Busch-Nelke","2","dianthus-sylvaticus"
"Baden-Württemberg","Dictamnus albus","Diptam","3","dictamnus-albus"
"Baden-Württemberg","Digitalis grandiflora","Großblütiger Fingerhut","V","digitalis-grandiflora"
"Baden-Württemberg","Digitalis lutea","Gelber Fingerhut","V","digitalis-lutea"
"Baden-Württemberg","Diphasiastrum alpinum","Alpen-Flachbärlapp","3","diphasiastrum-alpinum"
"Baden-Württemberg","Diphasiastrum complanatum","Gewöhnlicher Flachbärlapp","2","diphasiastrum-complanatum"
"Baden-Württemberg","Diphasiastrum issleri","Isslers Flachbärlapp","1","diphasiastrum-issleri"
"Baden-Württemberg","Diphasiastrum oellgaardii","Øllgaards Flachbärlapp","G","diphasiastrum-oellgaardii"
"Baden-Württemberg","Diphasiastrum tristachyum","Zypressen-Flachbärlapp","2","diphasiastrum-tristachyum"
"Baden-Württemberg","Diphasiastrum zeilleri","Zeillers Flachbärlapp","1","diphasiastrum-zeilleri"
"Baden-Württemberg","Diplotaxis muralis","Mauer-Doppelsame","3","diplotaxis-muralis"
"Baden-Württemberg","Draba aizoides","Immergrünes Felsenblümchen","3","draba-aizoides"
"Baden-Württemberg","Draba muralis","Mauer-Hungerblümchen","V","draba-muralis"
"Baden-Württemberg","Drosera intermedia","Mittlerer Sonnentau","2","drosera-intermedia"
"Baden-Württemberg","Drosera longifolia","Langblättriger Sonnentau","2","drosera-longifolia"
"Baden-Württemberg","Drosera rotundifolia","Rundblättriger Sonnentau","3","drosera-rotundifolia"
"Baden-Württemberg","Dryopteris cristata","Kammfarn","2","dryopteris-cristata"
"Baden-Württemberg","Echinocystis lobata","Stachelgurke","1","echinocystis-lobata"
"Baden-Württemberg","Elatine alsinastrum","Quirl-Tännel","1","elatine-alsinastrum"
"Baden-Württemberg","Elatine hexandra","Sechsmänniger Tännel","2","elatine-hexandra"
"Baden-Württemberg","Elatine hydropiper","Wasserpfeffer-Tännel","1","elatine-hydropiper"
"Baden-Württemberg","Elatine triandra","Dreimänniger Tännel","1","elatine-triandra"
"Baden-Württemberg","Eleocharis acicularis","Nadelbinse","V","eleocharis-acicularis"
"Baden-Württemberg","Eleocharis ovata","Eiförmige Sumpfbinse","3","eleocharis-ovata"
"Baden-Württemberg","Eleocharis quinqueflora","Armblütige Sumpfbinse","2","eleocharis-quinqueflora"
"Baden-Württemberg","Eleocharis uniglumis","Einspelzige Sumpfbinse","V","eleocharis-uniglumis"
"Baden-Württemberg","Empetrum hermaphroditum","Zwittrige Krähenbeere","2","empetrum-hermaphroditum"
"Baden-Württemberg","Empetrum nigrum","Schwarze Krähenbeere","2","empetrum-nigrum"
"Baden-Württemberg","Epilobium alpestre","Quirlblättriges Weidenröschen","R","epilobium-alpestre"
"Baden-Württemberg","Epilobium alsinifolium","Mierenblättriges Weidenröschen","2","epilobium-alsinifolium"
"Baden-Württemberg","Epilobium anagallidifolium","Alpen-Weidenröschen","1","epilobium-anagallidifolium"
"Baden-Württemberg","Epilobium duriaei","Durieus Weidenröschen","R","epilobium-duriaei"
"Baden-Württemberg","Epilobium nutans","Nickendes Weidenröschen","R","epilobium-nutans"
"Baden-Württemberg","Epilobium palustre","Sumpf-Weidenröschen","V","epilobium-palustre"
"Baden-Württemberg","Epipactis atrorubens","Rotbraune Stendelwurz","V","epipactis-atrorubens"
"Baden-Württemberg","Epipactis microphylla","Kleinblättrige Stendelwurz","V","epipactis-microphylla"
"Baden-Württemberg","Epipactis muelleri","Müllers Stendelwurz","V","epipactis-muelleri"
"Baden-Württemberg","Epipactis palustris","Sumpf-Stendelwurz","3","epipactis-palustris"
