"species_cleaned","rl_cat","naturadb_common_name"
"Hieracium substoloniflorum","R","not in naturadb"
"Hieracium sulphureum","1","not in naturadb"
"Hieracium viridifolium","R","not in naturadb"
"Hieracium walteri-langii","G","not in naturadb"
"Hieracium zizianum","V","not in naturadb"
"Hierochloe australis","2","not in naturadb"
"Hierochloe hirta","1","not in naturadb"
"Hierochloe odorata","2","naturadb"
"Hippocrepis comosa","V","naturadb"
"Hippocrepis emerus","3","naturadb"
"Hippuris vulgaris","V","naturadb"
"Homogyne discolor","R","not in naturadb"
"Hordeum marinum","0","not in naturadb"
"Hordeum secalinum","3","not in naturadb"
"Horminum pyrenaicum","R","naturadb"
"Hornungia petraea","2","not in naturadb"
"Hornungia procumbens","V","not in naturadb"
"Hottonia palustris","V","naturadb"
"Huperzia selago","V","not in naturadb"
"Hyacinthoides non-scripta","R","naturadb"
"Hydrocharis morsus-ranae","V","naturadb"
"Hymenophyllum tunbrigense","1","not in naturadb"
"Hyoscyamus niger","3","naturadb"
"Hypericum elegans","2","not in naturadb"
"Hypericum elodes","2","naturadb"
"Hypericum montanum","V","naturadb"
"Hypochaeris glabra","2","naturadb"
"Hypochaeris maculata","2","naturadb"
"Hypochaeris uniflora","R","not in naturadb"
"Hypopitys monotropa","V","not in naturadb"
"Iberis amara","0","naturadb"
"Iberis linifolia","2","not in naturadb"
"Illecebrum verticillatum","2","not in naturadb"
"Inula britannica","V","naturadb"
"Inula ensifolia","0","naturadb"
"Inula germanica","3","not in naturadb"
"Inula helvetica","1","not in naturadb"
"Inula hirta","3","naturadb"
"Inula salicina","V","naturadb"
"Iris aphylla","2","naturadb"
"Iris pumila","G","naturadb"
"Iris sambucina","G","naturadb"
"Iris sibirica","3","naturadb"
"Iris spuria","2","naturadb"
"Iris variegata","1","naturadb"
"Isoetes echinospora","1","not in naturadb"
"Isoetes lacustris","2","not in naturadb"
"Isolepis fluitans","2","not in naturadb"
"Isolepis setacea","V","not in naturadb"
"Jasione laevis","3","naturadb"
"Juncus alpinoarticulatus","V","not in naturadb"
"Juncus atratus","1","not in naturadb"
"Juncus balticus","1","not in naturadb"
"Juncus capitatus","2","not in naturadb"
"Juncus filiformis","V","not in naturadb"
"Juncus pygmaeus","1","not in naturadb"
"Juncus sphaerocarpus","2","not in naturadb"
"Juncus squarrosus","V","not in naturadb"
"Juncus stygius","1","not in naturadb"
"Juncus subnodulosus","3","naturadb"
"Juncus tenageia f.","2","not in naturadb"
"Juncus trifidus","1","not in naturadb"
"Juniperus communis","V","naturadb"
"Juniperus sabina","3","naturadb"
"Jurinea cyanoides","2","not in naturadb"
"Kickxia elatine","3","not in naturadb"
"Kickxia spuria","3","naturadb"
"Knautia kitaibelii","0","not in naturadb"
"Knautia serpentinicola","R","not in naturadb"
"Knautia drymeia","2","naturadb"
"Knautia gracilis","2","not in naturadb"
"Koeleria arenaria","3","not in naturadb"
"Koeleria glauca","2","naturadb"
"Koeleria grandis","2","not in naturadb"
"Koeleria macrantha","V","not in naturadb"
"Koeleria pyramidata","V","naturadb"
"Koeleria vallesiana","1","not in naturadb"
"Lactuca perennis","3","naturadb"
"Lactuca quercina","2","not in naturadb"
"Lactuca saligna","1","not in naturadb"
"Lactuca viminea","0","not in naturadb"
"Lappula deflexa","2","not in naturadb"
"Lappula squarrosa","2","not in naturadb"
"Laser trilobum","3","naturadb"
"Laserpitium latifolium","V","naturadb"
"Laserpitium prutenicum","2","naturadb"
"Laserpitium siler","3","naturadb"
"Lathyrus aphaca","3","naturadb"
"Lathyrus bauhini","1","not in naturadb"
"Lathyrus heterophyllus","3","naturadb"
"Lathyrus hirsutus","3","not in naturadb"
"Lathyrus japonicus","3","not in naturadb"
"Lathyrus linifolius","V","naturadb"
"Lathyrus niger","V","naturadb"
"Lathyrus nissolia","3","not in naturadb"
"Lathyrus palustris","3","naturadb"
"Lathyrus pannonicus","R","not in naturadb"
"Leersia oryzoides","3","not in naturadb"
"Legousia hybrida","2","not in naturadb"
"Legousia speculum-veneris","2","naturadb"
"Leontodon incanus","3","not in naturadb"
"Leontopodium alpinum","2","naturadb"
"Leonurus cardiaca","2","naturadb"
"Leonurus marrubiastrum","3","not in naturadb"
"Lepidium coronopus","3","not in naturadb"
"Leucanthemopsis alpina","2","not in naturadb"
"Leucanthemum adustum","V","not in naturadb"
"Leucojum aestivum","3","naturadb"
"Leucojum vernum","V","naturadb"
"Ligusticum mutellinoides","R","not in naturadb"
"Lilium bulbiferum","3","not in naturadb"
"Limodorum abortivum","3","not in naturadb"
"Limonium binervosum","R","not in naturadb"
"Limosella aquatica","3","not in naturadb"
"Linaria arvensis","1","not in naturadb"
"Lindernia procumbens","2","not in naturadb"
"Linnaea borealis","1","not in naturadb"
"Linum flavum","2","naturadb"
"Linum alpinum","R","naturadb"
"Linum leonii","3","not in naturadb"
"Linum perenne","2","naturadb"
"Linum tenuifolium","3","naturadb"
"Linum viscosum","2","not in naturadb"
"Liparis loeselii","2","not in naturadb"
"Listera cordata","3","not in naturadb"
"Lithospermum officinale","V","naturadb"
"Littorella uniflora","2","not in naturadb"
"Lloydia serotina","R","not in naturadb"
"Lobelia dortmanna","1","not in naturadb"
"Lolium remotum","0","not in naturadb"
"Lolium temulentum","0","naturadb"
"Lomatogonium carinthiacum","R","not in naturadb"
"Loranthus europaeus","R","not in naturadb"
"Lotus tenuis","V","not in naturadb"
"Lotus maritimus","3","naturadb"
"Ludwigia palustris","2","not in naturadb"
"Luronium natans","2","not in naturadb"
"Luzula desvauxii","R","not in naturadb"
"Luzula exspectata","R","not in naturadb"
"Luzula congesta","3","not in naturadb"
"Luzula pallescens","2","not in naturadb"
"Luzula sudetica","3","not in naturadb"
"Luzula glabrata","R","not in naturadb"
"Luzula nivea","3","naturadb"
"Lycopodiella inundata","3","not in naturadb"
"Lycopodium annotinum","V","not in naturadb"
"Lycopodium clavatum","3","not in naturadb"
"Lycopus exaltatus f.","0","not in naturadb"
"Lysimachia thyrsiflora","V","naturadb"
"Lythrum hyssopifolia","2","naturadb"
"Malaxis monophyllos","3","not in naturadb"
"Malus sylvestris","V","naturadb"
"Malva pusilla","3","not in naturadb"
"Malva thuringiaca","3","not in naturadb"
"Marrubium peregrinum","1","not in naturadb"
"Marrubium vulgare","1","naturadb"
"Marsilea quadrifolia","1","not in naturadb"
"Matteuccia struthiopteris","V","naturadb"
"Medicago minima","V","not in naturadb"
"Melampyrum arvense","3","naturadb"
"Melampyrum cristatum","3","not in naturadb"
"Melampyrum nemorosum","V","naturadb"
"Melica ciliata","V","naturadb"
"Melica transsilvanica","V","naturadb"
"Melica picta","V","not in naturadb"
"Melilotus dentatus","3","not in naturadb"
"Melittis melissophyllum","3","naturadb"
"Mentha pulegium","3","naturadb"
"Menyanthes trifoliata","3","naturadb"
"Mercurialis ovata","3","not in naturadb"
"Mespilus germanica","V","naturadb"
"Meum athamanticum","V","naturadb"
"Mibora minima","2","not in naturadb"
"Micropyrum tenellum","0","not in naturadb"
"Minuartia austriaca","R","naturadb"
"Minuartia cherlerioides","R","not in naturadb"
"Minuartia hybrida","3","not in naturadb"
"Minuartia rubra","2","not in naturadb"
"Minuartia rupestris","R","not in naturadb"
"Minuartia setacea","2","not in naturadb"
"Minuartia stricta","1","not in naturadb"
"Minuartia caespitosa","3","not in naturadb"
"Minuartia verna","3","not in naturadb"
"Minuartia viscosa","1","not in naturadb"
"Misopates orontium","3","naturadb"
"Moenchia erecta","1","not in naturadb"
"Moneses uniflora","2","not in naturadb"
"Montia arvensis","3","not in naturadb"
"Montia fontana","V","not in naturadb"
"Muscari botryoides","3","naturadb"
"Muscari comosum","3","naturadb"
"Muscari neglectum","3","naturadb"
"Muscari tenuiflorum","3","not in naturadb"
"Myosotis discolor","V","not in naturadb"
"Myosotis rehsteineri","1","naturadb"
"Myosotis sparsiflora","3","not in naturadb"
"Myosotis decumbens","R","not in naturadb"
"Myrica gale","3","naturadb"
"Myricaria germanica","1","naturadb"
"Myriophyllum alterniflorum","2","not in naturadb"
"Myrrhis odorata","R","naturadb"
"Najas flexilis","0","not in naturadb"
"Najas minor","3","not in naturadb"
"Narcissus radiiflorus","1","not in naturadb"
"Narcissus pseudonarcissus","3","naturadb"
"Nardus stricta","V","naturadb"
"Narthecium ossifragum","3","not in naturadb"
"Nepeta cataria","3","naturadb"
"Nepeta nuda","2","not in naturadb"
"Neslia paniculata","3","not in naturadb"
"Nigella arvensis","1","naturadb"
"Nigritella dolomitensis","R","not in naturadb"
"Nigritella miniata","2","not in naturadb"
"Nigritella nigra f.","R","not in naturadb"
"Nigritella widderi","2","not in naturadb"
"Noccaea caerulescens","V","naturadb"
"Noccaea montana","3","naturadb"
"Nonea erecta","3","not in naturadb"
"Nuphar pumila","1","not in naturadb"
"Nuphar spenneriana","R","not in naturadb"
"Nymphaea candida","2","naturadb"
"Nymphoides peltata","3","naturadb"
"Odontites luteus","3","naturadb"
"Odontites litoralis","2","not in naturadb"
"Odontites vernus","3","not in naturadb"
"Oenanthe conioides","1","not in naturadb"
"Oenanthe fluviatilis","0","not in naturadb"
"Oenanthe crocata","R","naturadb"
"Oenanthe fistulosa","3","not in naturadb"
"Oenanthe lachenalii","3","not in naturadb"
"Oenanthe peucedanifolia","2","naturadb"
"Oenanthe silaifolia","0","not in naturadb"
"Omphalodes scorpioides","2","not in naturadb"
"Onobrychis arenaria","3","naturadb"
"Onobrychis montana","2","naturadb"
"Ononis natrix","0","naturadb"
"Ononis foetens","1","not in naturadb"
"Onosma arenaria","1","not in naturadb"
"Ophioglossum vulgatum","3","not in naturadb"
"Ophrys holoserica","3","not in naturadb"
"Ophrys insectifera","3","not in naturadb"
"Ophrys araneola","2","not in naturadb"
"Ophrys sphegodes","2","not in naturadb"
"Orchis anthropophora","3","not in naturadb"
"Orchis coriophora","1","not in naturadb"
"Orchis mascula","V","not in naturadb"
"Orchis militaris","3","not in naturadb"
"Orchis morio","2","not in naturadb"
"Orchis pallens","3","not in naturadb"
"Orchis palustris","1","not in naturadb"
"Orchis purpurea","V","not in naturadb"
"Orchis pyramidalis","3","not in naturadb"
"Orchis simia","2","not in naturadb"
"Orchis spitzelii","0","not in naturadb"
"Orchis tridentata","3","not in naturadb"
"Orchis ustulata","2","not in naturadb"
"Oreochloa disticha","R","not in naturadb"
"Orlaya grandiflora","1","naturadb"
"Ornithogalum pyrenaicum","3","not in naturadb"
"Orobanche alba","2","not in naturadb"
"Orobanche alsatica","2","not in naturadb"
"Orobanche bartlingii","2","not in naturadb"
"Orobanche mayeri","1","not in naturadb"
"Orobanche amethystea","2","not in naturadb"
"Orobanche arenaria","2","not in naturadb"
"Orobanche artemisiae-campestris","2","not in naturadb"
"Orobanche bohemica","1","not in naturadb"
"Orobanche caryophyllacea","3","not in naturadb"
"Orobanche coerulescens","1","not in naturadb"
"Orobanche elatior","3","not in naturadb"
"Orobanche flava","3","not in naturadb"
"Orobanche gracilis","3","not in naturadb"
"Orobanche hederae","3","not in naturadb"
"Orobanche kochii","R","not in naturadb"
"Orobanche lutea","3","not in naturadb"
"Orobanche minor","3","not in naturadb"
"Orobanche picridis","2","not in naturadb"
"Orobanche purpurea","3","not in naturadb"
"Orobanche ramosa","2","not in naturadb"
"Orobanche rapum-genistae","3","not in naturadb"
"Orobanche reticulata","3","not in naturadb"
"Orobanche rubi","2","not in naturadb"
"Orobanche salviae","2","not in naturadb"
"Orobanche teucrii","3","not in naturadb"
"Orthilia secunda","V","not in naturadb"
"Osmunda regalis","3","naturadb"
"Oxytropis pilosa","2","naturadb"
"Papaver alpinum","3","not in naturadb"
"Papaver hybridum","2","not in naturadb"
"Parapholis strigosa","3","not in naturadb"
"Parietaria officinalis","V","not in naturadb"
"Parnassia palustris","3","not in naturadb"
"Pedicularis oederi","R","not in naturadb"
"Pedicularis palustris","2","not in naturadb"
"Pedicularis rostratospicata","R","not in naturadb"
"Pedicularis sceptrum-carolinum","2","not in naturadb"
"Pedicularis sylvatica","3","not in naturadb"
"Pedicularis verticillata","R","not in naturadb"
"Peplis portula","V","not in naturadb"
"Petasites spurius","3","naturadb"
"Petrorhagia saxifraga","3","naturadb"
"Peucedanum alsaticum","3","naturadb"
"Peucedanum cervaria","V","naturadb"
"Peucedanum officinale","3","naturadb"
"Peucedanum oreoselinum","V","naturadb"
"Phleum alpinum","R","not in naturadb"
"Phleum arenarium","3","not in naturadb"
"Phleum paniculatum","2","not in naturadb"
"Phleum phleoides","V","naturadb"
"Physalis alkekengi","3","naturadb"
"Physalis alkekengi var. alkekengi","3","not in naturadb"
"Phyteuma betonicifolium","R","naturadb"
"Phyteuma hemisphaericum","1","not in naturadb"
"Phyteuma nigrum","V","naturadb"
"Phyteuma orbiculare","3","naturadb"
"Phyteuma ovatum","R","naturadb"
"Pilularia globulifera","2","not in naturadb"
"Pinguicula alpina","3","not in naturadb"
"Pinguicula vulgaris","3","not in naturadb"
"Pinus cembra","3","naturadb"
"Pinus rotundata","3","not in naturadb"
"Plantago strictissima","2","not in naturadb"
"Platanthera bifolia","3","naturadb"
"Platanthera fornicata","3","not in naturadb"
"Platanthera chlorantha","3","naturadb"
"Poa badensis","2","not in naturadb"
"Poa glauca","R","not in naturadb"
"Poa langiana","0","not in naturadb"
"Poa remota","V","not in naturadb"
"Polemonium caeruleum","3","naturadb"
"Polycnemum arvense","1","not in naturadb"
"Polycnemum verrucosum","0","not in naturadb"
"Polycnemum majus","2","not in naturadb"
"Polygala amara","3","naturadb"
"Polygala amarella","V","not in naturadb"
"Polygala calcarea","3","not in naturadb"
"Polygala comosa","V","naturadb"
"Polygala serpyllifolia","3","not in naturadb"
"Polygala vulgaris","V","naturadb"
"Polygonatum odoratum","V","naturadb"
"Polygonum oxyspermum","R","not in naturadb"
"Polygonum raii","R","not in naturadb"
"Polystichum setiferum","3","naturadb"
"Polystichum braunii","2","naturadb"
"Polystichum lonchitis","V","not in naturadb"
"Populus nigra","3","naturadb"
"Potamogeton acutifolius","3","not in naturadb"
"Potamogeton alpinus","3","not in naturadb"
"Potamogeton angustifolius","2","not in naturadb"
"Potamogeton coloratus","2","not in naturadb"
"Potamogeton compressus","2","not in naturadb"
"Potamogeton filiformis","2","not in naturadb"
"Potamogeton friesii","3","not in naturadb"
"Potamogeton gramineus","2","not in naturadb"
"Potamogeton lucens","V","naturadb"
"Potamogeton nitens","2","not in naturadb"
"Potamogeton nodosus","V","not in naturadb"
"Potamogeton obtusifolius","3","not in naturadb"
"Potamogeton helveticus","1","not in naturadb"
"Potamogeton perfoliatus","V","not in naturadb"
"Potamogeton polygonifolius","3","not in naturadb"
"Potamogeton praelongus","2","not in naturadb"
"Potamogeton berchtoldii","V","not in naturadb"
"Potamogeton pusillus","V","not in naturadb"
"Potamogeton rutilus","1","not in naturadb"
"Potamogeton trichoides","V","not in naturadb"
"Potentilla alba","3","naturadb"
"Potentilla anglica","V","naturadb"
"Potentilla clusiana","R","not in naturadb"
"Potentilla lindackeri","1","not in naturadb"
"Potentilla praecox","1","not in naturadb"
"Potentilla rhenana","1","not in naturadb"
"Potentilla schultzii","1","not in naturadb"
"Potentilla wismariensis","2","not in naturadb"
"Potentilla heptaphylla","V","not in naturadb"
"Potentilla inclinata","3","not in naturadb"
"Potentilla micrantha","V","not in naturadb"
"Potentilla supina","V","not in naturadb"
"Potentilla thuringiaca","2","not in naturadb"
"Potentilla incana","V","naturadb"
"Potentilla pusilla","3","not in naturadb"
"Primula auricula","3","naturadb"
"Primula clusiana","R","naturadb"
"Primula farinosa","3","naturadb"
"Primula hirsuta","R","naturadb"
"Primula matthioli","R","not in naturadb"
"Primula minima","R","not in naturadb"
"Primula pubescens","1","not in naturadb"
"Primula veris","V","naturadb"
"Primula vulgaris","3","naturadb"
"Prunella grandiflora","V","naturadb"
"Prunella laciniata","3","not in naturadb"
"Prunus domestica","V","naturadb"
"Prunus fruticosa","2","naturadb"
"Pseudorchis albida","3","not in naturadb"
"Pseudoturritis turrita","3","not in naturadb"
"Puccinellia capillaris Jansen","3","not in naturadb"
"Puccinellia limosa","2","not in naturadb"
"Pulicaria dysenterica","V","naturadb"
"Pulicaria vulgaris","3","not in naturadb"
"Pulmonaria angustifolia","2","naturadb"
"Pulmonaria collina","2","not in naturadb"
"Pulmonaria mollis","3","naturadb"
"Pulsatilla patens","1","naturadb"
"Pulsatilla pratensis","2","naturadb"
"Pulsatilla vernalis","2","not in naturadb"
"Pulsatilla vulgaris","3","naturadb"
"Pyrola chlorantha","2","not in naturadb"
"Pyrola media","2","not in naturadb"
"Pyrola minor","3","not in naturadb"
"Pyrola rotundifolia","3","not in naturadb"
"Quercus pubescens","3","naturadb"
"Radiola linoides","2","not in naturadb"
"Ranunculus aquatilis","V","naturadb"
"Ranunculus ololeucos","2","not in naturadb"
"Ranunculus penicillatus","V","not in naturadb"
"Ranunculus confervoides","R","not in naturadb"
"Ranunculus tripartitus","0","not in naturadb"
"Ranunculus arvensis","3","naturadb"
"Ranunculus aemulans","2","not in naturadb"
"Ranunculus alnetorum","1","not in naturadb"
"Ranunculus alsaticus","3","not in naturadb"
"Ranunculus ambranus","0","not in naturadb"
"Ranunculus basitruncatus","1","not in naturadb"
"Ranunculus biclaterae","R","not in naturadb"
"Ranunculus borchers-kolbiae","2","not in naturadb"
"Ranunculus cassubicifolius","3","not in naturadb"
"Ranunculus chrysoleptos","2","not in naturadb"
"Ranunculus constans","0","not in naturadb"
"Ranunculus dactylophyllus","2","not in naturadb"
"Ranunculus danubius","R","not in naturadb"
"Ranunculus doerrii","1","not in naturadb"
"Ranunculus excisus","R","not in naturadb"
"Ranunculus haasii","1","not in naturadb"
"Ranunculus hevellus","3","not in naturadb"
"Ranunculus indecorus","3","not in naturadb"
"Ranunculus inexspectans","R","not in naturadb"
"Ranunculus integerrimus","2","not in naturadb"
"Ranunculus irregularis","R","not in naturadb"
"Ranunculus kunzii","1","not in naturadb"
"Ranunculus leptomeris","3","not in naturadb"
"Ranunculus lunaris","2","not in naturadb"
"Ranunculus macrotis","R","not in naturadb"
"Ranunculus megacarpus","G","not in naturadb"
"Ranunculus mergenthaleri","2","not in naturadb"
"Ranunculus mosbachensis","R","not in naturadb"
"Ranunculus mosellanus","R","not in naturadb"
"Ranunculus multisectus","G","not in naturadb"
"Ranunculus opimus","3","not in naturadb"
"Ranunculus palmularis","1","not in naturadb"
"Ranunculus phragmiteti","2","not in naturadb"
"Ranunculus pseudoaemulans","3","not in naturadb"
"Ranunculus pseudocassubicus","R","not in naturadb"
"Ranunculus pseudopimus","R","not in naturadb"
"Ranunculus puberulus","G","not in naturadb"
"Ranunculus ratisbonensis","R","not in naturadb"
"Ranunculus recticaulis","2","not in naturadb"
"Ranunculus reichertii","R","not in naturadb"
"Ranunculus rhombilobus","2","not in naturadb"
"Ranunculus rostratulus","1","not in naturadb"
"Ranunculus rotundatus","3","not in naturadb"
"Ranunculus sorviodurus","R","not in naturadb"
"Ranunculus suevicus","G","not in naturadb"
"Ranunculus transiens","3","not in naturadb"
"Ranunculus variabilis","2","not in naturadb"
"Ranunculus varicus","3","not in naturadb"
"Ranunculus vertumnaliformis","R","not in naturadb"
"Ranunculus walo-kochii","G","not in naturadb"
"Ranunculus circinatus","V","not in naturadb"
"Ranunculus reptans","2","not in naturadb"
"Ranunculus fluitans","V","not in naturadb"
"Ranunculus glacialis","R","not in naturadb"
"Ranunculus hederaceus","2","not in naturadb"
"Ranunculus hybridus","R","not in naturadb"
"Ranunculus illyricus","2","not in naturadb"
"Ranunculus lingua","3","naturadb"
"Ranunculus carinthiacus","2","not in naturadb"
"Ranunculus villarsii","R","not in naturadb"
"Ranunculus parnassifolius","1","not in naturadb"
"Ranunculus polyanthemos","V","naturadb"
"Ranunculus sardous","3","not in naturadb"
"Ranunculus seguieri","0","not in naturadb"
"Rapistrum perenne","3","naturadb"
"Rhinanthus glacialis","V","not in naturadb"
"Rhinanthus riphaeus","0","not in naturadb"
"Rhinanthus serotinus","3","naturadb"
"Rhodiola rosea","1","naturadb"
"Rhododendron tomentosum","3","naturadb"
"Rhynchospora alba","3","not in naturadb"
"Rhynchospora fusca","2","not in naturadb"
"Ribes petraeum","R","naturadb"
"Rorippa islandica","R","not in naturadb"
"Rorippa pyrenaica","3","naturadb"
"Rosa agrestis","3","naturadb"
"Rosa arvensis","V","naturadb"
"Rosa caesia","3","not in naturadb"
"Rosa dumalis","V","naturadb"
"Rosa elliptica","3","naturadb"
"Rosa gallica","3","naturadb"
"Rosa glauca","3","naturadb"
"Rosa majalis","3","naturadb"
"Rosa marginata","3","not in naturadb"
"Rosa micrantha","V","naturadb"
"Rosa spinosissima","3","naturadb"
"Rosa abietina","1","not in naturadb"
"Rosa balsamica","V","not in naturadb"
"Rosa mollis","R","naturadb"
"Rosa pseudoscabriuscula","V","not in naturadb"
"Rosa sherardii","V","naturadb"
"Rosa villosa","V","naturadb"
"Rubus","1","not in naturadb"
"Rubus chamaemorus","1","naturadb"
"Rubus","V","not in naturadb"
"Rubus saxatilis","V","naturadb"
"Rubus cordiformis","3","not in naturadb"
"Rubus egregiusculus","3","not in naturadb"
"Rubus firmus","3","not in naturadb"
"Rubus frisicus","3","not in naturadb"
"Rubus glauciformis","1","not in naturadb"
"Rubus hallandicus","3","not in naturadb"
"Rubus hylanderi","R","not in naturadb"
"Rubus martensenii","3","not in naturadb"
"Rubus maximus","G","not in naturadb"
"Rubus mortensenii","2","not in naturadb"
"Rubus pedersenii","R","not in naturadb"
"Rubus perdemissus","V","not in naturadb"
"Rubus phoenicacanthus","1","not in naturadb"
"Rubus phylloglotta","2","not in naturadb"
"Rubus pseudopsis","R","not in naturadb"
"Rubus sendtneri","3","not in naturadb"
"Rubus septifolius","2","not in naturadb"
"Rubus sprengeliusculus","1","not in naturadb"
"Rubus suecicus","R","not in naturadb"
"Rubus sylvulicola","G","not in naturadb"
"Rubus tiliaster","3","not in naturadb"
"Rubus adscitus","R","not in naturadb"
"Rubus agricastrorum","R","not in naturadb"
"Rubus ambrosius","R","not in naturadb"
"Rubus amphistrophos","G","not in naturadb"
"Rubus anisacanthos","G","not in naturadb"
"Rubus arrheniiformis","R","not in naturadb"
"Rubus axillaris","R","not in naturadb"
"Rubus barberi","0","not in naturadb"
"Rubus beijerinckii","R","not in naturadb"
"Rubus bovinus","R","not in naturadb"
"Rubus calothyrsus","R","not in naturadb"
"Rubus calyculatus","R","not in naturadb"
"Rubus canaliculatus","G","not in naturadb"
"Rubus canescens","V","not in naturadb"
"Rubus cardiophyllus","2","not in naturadb"
"Rubus christianseniorum","3","not in naturadb"
"Rubus circipanicus","3","not in naturadb"
"Rubus clusii","V","not in naturadb"
"Rubus confusidens","2","not in naturadb"
"Rubus constrictus","3","not in naturadb"
"Rubus correctispinosus","2","not in naturadb"
"Rubus costaefolius","R","not in naturadb"
"Rubus distractus","V","not in naturadb"
"Rubus dufftianus Jansen","R","not in naturadb"
"Rubus edeesii","R","not in naturadb"
"Rubus egregius","V","not in naturadb"
"Rubus eideranus","2","not in naturadb"
"Rubus elatior","G","not in naturadb"
"Rubus euryanthemus","G","not in naturadb"
"Rubus gelertii","V","not in naturadb"
"Rubus gremlii","R","not in naturadb"
"Rubus guestphalicoides","2","not in naturadb"
"Rubus guestphalicus","3","not in naturadb"
"Rubus henrici-egonis","R","not in naturadb"
"Rubus henrici-weberi","R","not in naturadb"
"Rubus imbricatus","R","not in naturadb"
"Rubus incarnatus","3","not in naturadb"
"Rubus latiarcuatus","V","not in naturadb"
"Rubus libertianus","1","not in naturadb"
"Rubus ligniciensis","0","not in naturadb"
"Rubus lindebergii","3","not in naturadb"
"Rubus lusaticus","2","not in naturadb"
"Rubus macranthelos","R","not in naturadb"
"Rubus marianus","2","not in naturadb"
"Rubus micans","3","not in naturadb"
"Rubus murrayi","R","not in naturadb"
"Rubus naumannii","R","not in naturadb"
"Rubus nuptialis","V","not in naturadb"
"Rubus palaefolius","G","not in naturadb"
"Rubus pallidifolius","3","not in naturadb"
"Rubus passaviensis","R","not in naturadb"
"Rubus perpedatus","R","not in naturadb"
"Rubus perrobustus","R","not in naturadb"
"Rubus phyllostachys","G","not in naturadb"
"Rubus phyllothyrsos","1","not in naturadb"
"Rubus platycephalus","1","not in naturadb"
"Rubus poliothyrsus","R","not in naturadb"
"Rubus polyanthemus","V","not in naturadb"
"Rubus praticolor","R","not in naturadb"
"Rubus pseudothyrsanthus","3","not in naturadb"
"Rubus rhamnifolius","2","not in naturadb"
"Rubus rhombifolius","2","not in naturadb"
"Rubus rufescens","1","not in naturadb"
"Rubus scaber","2","not in naturadb"
"Rubus schlechtendaliiformis","G","not in naturadb"
"Rubus siekensis","V","not in naturadb"
"Rubus silvae-norticae","R","not in naturadb"
"Rubus sorbicus","G","not in naturadb"
"Rubus spinulatus","R","not in naturadb"
"Rubus stormanicus","2","not in naturadb"
"Rubus tabanimontanus","0","not in naturadb"
"Rubus trichanthus","R","not in naturadb"
"Rumex aquaticus","V","naturadb"
"Rumex nivalis","R","not in naturadb"
"Rumex palustris","V","not in naturadb"
"Ruppia maritima","2","not in naturadb"
"Ruppia spiralis","3","not in naturadb"
"Ruta graveolens","3","naturadb"
"Sagina alexandrae","1","not in naturadb"
"Sagina apetala","3","not in naturadb"
"Sagina maritima","V","not in naturadb"
"Sagina nodosa","2","naturadb"
"Sagina normaniana","R","not in naturadb"
"Salix bicolor","0","naturadb"
"Salix caesia","R","naturadb"
"Salix daphnoides","2","naturadb"
"Salix eleagnos","V","naturadb"
"Salix hastata","R","naturadb"
"Salix myrsinifolia","V","not in naturadb"
"Salix alpina","1","naturadb"
"Salix breviserrata","1","not in naturadb"
"Salix myrtilloides","1","naturadb"
"Salix rosmarinifolia","3","naturadb"
"Salix starkeana","1","naturadb"
"Salvia pratensis","V","naturadb"
"Salvinia natans","2","not in naturadb"
"Samolus valerandi","2","not in naturadb"
"Sanguisorba officinalis","V","naturadb"
"Saponaria ocymoides","2","naturadb"
"Saussurea alpina","R","not in naturadb"
"Saussurea discolor","R","not in naturadb"
"Saussurea pygmaea","R","not in naturadb"
"Saxifraga bryoides","R","not in naturadb"
"Saxifraga burseriana","R","not in naturadb"
"Saxifraga granulata","V","naturadb"
"Saxifraga hirculus","0","not in naturadb"
"Saxifraga kochii","R","not in naturadb"
"Saxifraga mutata","2","not in naturadb"
"Saxifraga rosacea","3","not in naturadb"
"Scabiosa canescens","3","naturadb"
"Scabiosa ochroleuca","3","naturadb"
"Scandix pecten-veneris","2","naturadb"
"Scheuchzeria palustris","2","not in naturadb"
"Schlagintweitia intybacea","R","naturadb"
"Schoenoplectus carinatus","2","not in naturadb"
"Schoenoplectus mucronatus","1","not in naturadb"
"Schoenoplectus pungens","1","not in naturadb"
"Schoenoplectus supinus","2","not in naturadb"
"Schoenoplectus triqueter","2","not in naturadb"
"Schoenus ferrugineus","3","not in naturadb"
"Schoenus intermedius","3","not in naturadb"
"Schoenus nigricans","2","naturadb"
"Scilla amoena","R","not in naturadb"
"Scilla vindobonensis","2","not in naturadb"
"Scirpoides holoschoenus","2","not in naturadb"
"Scirpus radicans","2","not in naturadb"
"Scleranthus verticillatus","2","not in naturadb"
"Scleranthus perennis","V","naturadb"
"Sclerochloa dura","3","not in naturadb"
"Scolochloa festucacea","3","not in naturadb"
"Scolochloa marchica","2","not in naturadb"
"Scorzonera austriaca","1","naturadb"
"Scorzonera hispanica","3","naturadb"
"Scorzonera humilis","3","naturadb"
"Scorzonera laciniata","3","not in naturadb"
"Scorzonera parviflora","2","not in naturadb"
"Scorzonera purpurea","2","naturadb"
"Scutellaria hastifolia","2","not in naturadb"
"Scutellaria minor","2","naturadb"
"Sedum alpestre","R","not in naturadb"
"Sedum annuum","1","not in naturadb"
"Sedum dasyphyllum","3","naturadb"
