"wittList"
"Geum rivale"
"Geum urbanum"
"Gladiolus palustris"
"Glaucium corniculatum"
"Glaucium flavum"
"Glechoma hederacea"
"Globularia cordifolia"
"Globularia punctata"
"Hacquetia epipactis"
"Hedera helix"
"Helianthemum alpestre"
"Helianthemum nummularium"
"Helichrysum arenarium"
"Helleborus foetidus"
"Helleborus niger"
"Helleborus viridis"
"Hemerocallis fulva"
"Hemerocallis lilio-asphodelus"
"Hepatica nobilis"
"Hesperis matronalis"
"Hesperis sylvestris"
"Hieracium aurantiacum"
"Hieracium pilosella"
"Hieracium sylvaticum"
"Hippocrepis comosa"
"Hippophae rhamnoides"
"Hippuris vulgaris"
"Hottonia palustris"
"Humulus lupulus"
"Humulus scandens"
"Hydrangea anomala"
"Hydrocharis morsus-ranae"
"Hyoscyamus niger"
"Hypericum androsaemum"
"Hypericum hirsutum"
"Hypericum perforatum"
"Hypericum pulchra"
"Hypericum tetrapterum"
"Iberis amara"
"Iberis intermedia"
"Ilex aquilegifolium"
"Impatiens noli-tangere"
"Inula britannica"
"Inula conyza"
"Inula ensifolia"
"Inula germanica"
"Inula hirta"
"Ipomea tricolor"
"Iris graminea"
"Iris pseudoacorus"
"Iris sibirica"
"Juncus bulbosus"
"Juncus effusus"
"Juniperus communis"
"Juniperus sibirica"
"Knautia arvensis"
"Knautia arvensis"
"Lactuca perennis"
"Lactuca serriola"
"Lagenaria siceraria"
"Lamium album"
"Lamium maculatum"
"Lamium rubrum"
"Lathyrus aphaca"
"Lathyrus heterophyllus"
"Lathyrus hirsutus"
"Lathyrus latifolius"
"Lathyrus maritimus"
"Lathyrus montanus"
"Lathyrus niger"
"Lathyrus odoratus"
"Lathyrus palustris"
"Lathyrus pratensis"
"Lathyrus sylvestris"
"Lathyrus tuberosus"
"Lathyrus vernus"
"Lavathera thuringiaca"
"Legousia hybrida"
"Legousia speculum-veneris"
"Lemna gibba"
"Lemna minor"
"Lemna trisulca"
"Leontodon autumnalis"
"Leontodon hispidus"
"Leontopodium alpinum"
"Leonurus cardiaca"
"Leonurus marrubiastrum"
"Leucojum aestivum"
"Leucojum vernum"
"Ligustrum vulgare"
"Lilium bulbiferum"
"Lilium martagon"
"Linaria alpina"
"Linaria arvensis"
"Linaria vulgaris"
"Linum austriacum"
"Linum flavum"
"Linum perenne"
"Linum tenuifolium"
"Linum viscosum"
"Lithospermum arvense"
"Lithospermum officinale"
"Lithospermum purpurocaeruleum"
"Lobelia dortmanna"
"Lonicera alpigena"
"Lonicera caprifolium"
"Lonicera coerulea"
"Lonicera henryi"
"Lonicera nigra"
"Lonicera periclymenum"
"Lonicera xylosteum"
"Lotus corniculatus"
"Lotus uliginosus"
"Lunaria rediviva"
"Lychnis coronaria"
"Lychnis flos-cuculi"
"Lychnis viscaria"
"Lycopus europaeus"
"Lysimachia nemorum"
"Lysimachia nummularia"
"Lysimachia thyrsiflora"
"Lysimachia vulgaris"
"Lythrum salicaria"
"Malus silvestris"
"Malva alcea"
"Malva moschata"
"Malva neglecta"
"Malva sylvestris"
"Matricaria chamomilla"
"Matricaria inodora"
"Medicago falcata"
"Melampyrum arvense"
"Melampyrum nemorosum"
"Melica ciliata"
"Melilotus alba"
"Melilotus officinalis"
"Mellitis melissophyllum"
"Mentha aquatica"
"Mentha pulegium"
"Mentha suavolens"
"Menyanthes trifolia"
"Mimulus gutatus"
"Mimulus moschatus"
"Molinia caerulea"
"Muscari botryoides"
"Muscari comosum"
"Muscari neglectum"
"Muscari racemosum"
"Myosotis palustris"
"Myosotis silvatica"
"Myricaria germanica"
"Myriophyllum spicatum"
"Myriophyllum verticillatum"
"Narcissus poeticus"
"Narcissus pseudonarcissus"
"Narcissus radiiflorus"
"Nardus strictus"
"Nasturtium officinale"
"Neslia paniculata"
"Nuphar candida"
"Nuphar lutea"
"Nuphar pumila"
"Nymphaea alba"
"Nymphaea alba minor"
"Nymphoides peltata"
"Oenanthe aquatica"
"Oenothera biennis"
"Onobrychis viciifolia"
"Ononis natrix"
"Ononis repens"
"Ononis spinosa"
"Onopordum acanthium"
"Origanum vulgare"
"Ornithogalum nutans"
"Ornithogalum umbellatum"
"Osmunda regalis"
"Oxalis corniculata"
"Papaver alpinum"
"Papaver argemone"
"Papaver dubium"
"Papaver rhoeas"
"Papaver sendtneri"
"Parthenocissus quinquefolia"
"Parthenocissus tricuspidata"
"Passiflora coerulea"
"Pastinaca sativa"
"Petasites hybridus"
"Petasites officinales"
"Peucedamum cervaria"
"Peucedamum ostruthium"
"Pharbitis nil"
"Phaseolus coccineus"
"Phragmites australis"
"Phyteuma orbiculare"
"Phyteuma spicata"
"Pimpinellia major"
"Pimpinellia saxifraga"
"Plantago media"
"Polemonium coeruleum"
"Polygonatum multiflorum"
"Polygonatum odoratum"
"Polygonatum verticillatum"
"Polygonum amphibium"
"Polygonum aubertii"
"Polygonum bistorta"
"Potamogeton colaratus"
"Potamogeton nutans"
"Potamogeton perfoliatus"
"Potamogeton praelongus"
"Potentilla alba"
"Potentilla anserina"
"Potentilla argentea"
"Potentilla aurea"
"Potentilla erecta"
"Potentilla grandiflora"
"Potentilla neumanniana"
"Potentilla palustris"
"Prenanthes purpurea"
"Primula auricula"
"Primula elatior"
"Primula veris"
"Prunella alba"
"Prunella grandiflora"
"Prunella vulgaris"
"Prunus fruticosa"
"Prunus mahaleb"
"Prunus padus"
"Prunus spinosa"
"Prunus tenella"
"Pulmonaria angustifolia"
"Pulmonaria maculatum"
"Pulsatilla alpina"
"Pulsatilla patens"
"Pulsatilla pratensis"
"Pulsatilla vernalis"
"Pulsatilla vulgaris"
"Pyrus communis"
"Ranunculus acre"
"Ranunculus aquatilis"
"Ranunculus bulbosus"
"Ranunculus ficaria"
"Ranunculus lanuginosus"
"Ranunculus lingua"
"Ranunculus platanifolius"
"Reseda lutea"
"Rhamnus cathartica"
"Rhamnus frangula"
"Rhamnus pumila"
"Rhamnus saxatilis"
"Rhinanthus alectorolophus"
"Rhinanthus minor"
"Rhododendron ferrugineum"
"Ribes alpinum"
"Ribes nigrum"
"Ribes petraeum"
"Ribes rubrum"
"Ribes uva-crispa"
"Rorippa palustris"
"Rosa alpina"
"Rosa arvensis"
"Rosa caesia"
"Rosa canina"
"Rosa corymbifera"
"Rosa gallica"
"Rosa glauca"
"Rosa jundzillii"
"Rosa majalis"
"Rosa mollis"
"Rosa pendulina"
"Rosa pimpinellifolia"
"Rosa rubiginosa"
"Rosa scabriuscula"
"Rubus caesius"
"Rubus fruticosus"
"Rubus henryi"
"Rubus idaeus"
"Rubus saxatilis"
"Rumex acetosa"
"Ruta graveolens"
"Sagittaria sagittifolia"
"Salix aurita"
"Salix waldsteiniana"
"Salvia glutinosa"
"Salvia nemorosa"
"Salvia pratensis"
"Sambucus ebulus"
"Sambucus nigra"
"Sambucus racemosa"
"Sanguisorba minor"
"Sanguisorba officinalis"
"Sanicula europaea"
"Sanicula officinalis"
"Saxifraga azoides"
"Saxifraga cotyledon"
"Saxifraga moschata"
"Saxifraga mutata"
"Saxifraga oppositifolia"
"Saxifraga rotundifolia"
"Saxifraga stellaris"
"Scabiosa columbaria"
"Scabiosa lucida"
"Schoeneplectus lacustris"
"Scilla bifolia"
"Scilla non-scripta"
"Scorzonera austriaca"
"Scorzonera purpurea"
"Scutellaria galericulata"
"Sedum acre"
"Sedum album"
"Sedum hispanicum"
"Sedum maximum"
"Sedum reflexum"
"Sedum sexangulare"
"Sedum telephium"
"Sempervivum arachnoides"
"Sempervivum montanum"
"Sempervivum tectorum"
"Senecio aquaticus"
"Senecio erucifolius"
"Senecio palustris"
"Sherardia arvensis"
"Silene alba"
"Silene acaulis"
"Silene alba"
"Silene dioica"
"Silene noctiflorum"
"Silene nutans"
"Silene rupestris"
"Silene vulgaris"
"Solanum dulcamara"
"Solanum nigra"
"Soldanella alpina"
"Soldanella montana"
"Solidago virgaurea"
"Sorbus aria"
"Sorbus aucuparia"
"Sorbus chaemaemespilus"
"Sorbus domestica"
"Sparganium emersum"
"Sparganium erectum"
"Sparganium minimum"
"Spirodela polyrhiza"
"Stachys annua"
"Stachys erecta"
"Stachys officinalis"
"Stachys palustris"
"Stachys silvatica"
"Stipa pennata"
"Stratoides aloides"
"Succisa pratensis"
"Symphytum officinale"
"Tamus communis"
"Tetragonolobus maritimus"
"Teucrium chamaedrys"
"Teucrium montanum"
"Teucrium scorodonia"
"Thalictrum aquilegifolium"
"Thalictrum minus"
"Thunbergia alata"
"Thymus pulegioides"
"Thymus serpyllum"
"Tragopogon pratensis"
"Trapa natans"
"Trisetum flavescens"
"Trollius europaeus"
"Tropaeolum peregrinum"
"Tulipa silvestris"
"Tussilago farfara"
"Typha angustifolia"
"Typha latifolia"
"Typha minima"
"Ulex europaeus"
"Utricularia vulgaris"
"Vaccinium vitis-idaea"
"Valeriana montana"
"Valeriana officinalis"
"Verbascum densiflorum"
"Verbascum lychnites"
"Verbascum nigrum"
"Verbascum phoenicum"
"Verbascum pulverulentum"
"Verbascum thapsus"
"Verbena officinalis"
"Veronica austriaca"
"Veronica beccabunga"
"Veronica catenata"
"Veronica chamaedrys"
"Veronica fruticans"
"Veronica prostrata"
"Veronica spicata"
"Veronica teucrium"
"Veronica verna"
"Viburnum lantana"
"Viburnum opulus"
"Vicia cracca"
"Vicia dumentorum"
"Vicia hirsuta"
"Vicia lathyroides"
"Vicia pisiformis"
"Vicia sepium"
"Vicia sylvatica"
"Vicia villosa"
"Vinca minor"
"Vincetoxicum hirundinaria"
"Viola alba"
