"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-rosa-erfuellung-aster-amellus-rosa-erfuellung.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-sternkugel-aster-amellus-sternkugel.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-veilchenkoenigin-aster-amellus-veilchenkoenigin.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-kalk-aster-aster-amellus.html"
"Aster bellidiastrum","Alpenmaßlieb","Staudengärtnerei StaudenSpatz",NA
"Aster linosyris","Goldhaar-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/goldhaar-aster-aster-linosyris.html"
"Astragalus cicer","Kicher-Tragant","Staudengärtnerei StaudenSpatz",NA
"Athamanta cretensis","Alpen-Augenwurz,Zottige Augenwurz","Staudengärtnerei StaudenSpatz",NA
"Bartsia alpina","Alpen-Bartschie,Alpenhelm","Staudengärtnerei StaudenSpatz",NA
"Betula humilis","Niedrige Birke","Staudengärtnerei StaudenSpatz",NA
"Betula nana","Zwerg-Birke","Staudengärtnerei StaudenSpatz",NA
"Bryonia alba","Weiße Zaunrübe","Staudengärtnerei StaudenSpatz",NA
"Buphthalmum salicifolium","Ochsenauge,Weidenblatt-Rindsauge","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ochsenauge-buphthalmum-salicifolium.html"
"Bupleurum longifolium","Langblättriges Hasenohr","Staudengärtnerei StaudenSpatz",NA
"Bupleurum rotundifolium","Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis pseudophragmites","Ufer-Reitgras","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis varia","Berg-Reitgras","Staudengärtnerei StaudenSpatz",NA
"Calendula arvensis","Acker-Ringelblume","Staudengärtnerei StaudenSpatz",NA
"Calla palustris","Sumpfkalla,Drachenwurz","Staudengärtnerei StaudenSpatz",NA
"Campanula cervicaria","Borstige Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula cochleariifolia","Zwerg-Glockenblume,Niedliche Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/knaeul-glockenblume-campanula-glomerata.html"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula scheuchzeri","Scheuchzers Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Carduus acanthoides","Weg-Distel","Staudengärtnerei StaudenSpatz",NA
"Carduus defloratus","Alpen-Distel","Staudengärtnerei StaudenSpatz",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex diandra","Draht-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex ericetorum","Heide-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex flava","Gelbe Segge","Staudengärtnerei StaudenSpatz",NA
"Carex humilis","Erd-Segge,Zwergsegge","Staudengärtnerei StaudenSpatz",NA
"Carex nigra","Wiesen-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex pseudocyperus","Scheinzypergras-Segge","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/scheinzyperngras-segge-carex-pseudocyperus.html"
"Carex sempervirens","Horst-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex vulpina","Fuchs-Segge","Staudengärtnerei StaudenSpatz",NA
"Centaurea pseudophrygia","Perücken-Flockenblume","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/peruecken-flockenblume-centaurea-pseudophrygia.html"
"Ceratophyllum submersum","Zartes Hornblatt","Staudengärtnerei StaudenSpatz",NA
"Chenopodium bonus-henricus","Guter Heinrich","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/guter-heinrich-chenopodium-bonus-henricus.html"
"Chondrilla juncea","Großer Knorpellattich,Binsen-Knorpellattich","Staudengärtnerei StaudenSpatz",NA
"Cicerbita plumieri","Französischer Milchlattich","Staudengärtnerei StaudenSpatz",NA
"Cicuta virosa","Wasserschierling,Gift-Wasserschierling","Staudengärtnerei StaudenSpatz",NA
"Cirsium acaule","Stängellose Kratzdistel","Staudengärtnerei StaudenSpatz",NA
"Cirsium rivulare","Bach-Kratzdistel","Staudengärtnerei StaudenSpatz",NA
"Cirsium tuberosum","Knollen-Kratzdistel","Staudengärtnerei StaudenSpatz",NA
"Cladium mariscus","Binsen-Schneide","Staudengärtnerei StaudenSpatz",NA
"Colutea arborescens","Gelber Blasenstrauch","Staudengärtnerei StaudenSpatz",NA
"Conium maculatum","Gefleckter Schierling","Staudengärtnerei StaudenSpatz",NA
"Consolida regalis","Gewöhnlicher Feldrittersporn,Ackerrittersporn","Staudengärtnerei StaudenSpatz",NA
"Coronilla coronata","Berg-Kronwicke","Staudengärtnerei StaudenSpatz",NA
"Coronilla vaginalis","Scheiden-Kronwicke","Staudengärtnerei StaudenSpatz",NA
"Corydalis intermedia","Mittlerer Lerchensporn","Staudengärtnerei StaudenSpatz",NA
"Corynephorus canescens","Gewöhnliches Silbergras","Staudengärtnerei StaudenSpatz",NA
"Crepis tectorum","Dach-Pippau","Staudengärtnerei StaudenSpatz",NA
"Cyperus longus","Hohes Zypergras","Staudengärtnerei StaudenSpatz",NA
"Cytisus nigricans","Schwarzer Geißklee","Staudengärtnerei StaudenSpatz",NA
"Dactylorhiza incarnata","Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut","Staudengärtnerei StaudenSpatz",NA
"Daphne cneorum","Rosmarin-Seidelbast","Staudengärtnerei StaudenSpatz",NA
"Descurainia sophia","Gewöhnliche Besenrauke","Staudengärtnerei StaudenSpatz",NA
"Dianthus armeria","Raue Nelke,Büschel-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/bueschel-nelke-raue-nelke-dianthus-armeria.html"
"Dianthus carthusianorum","Karthäuser-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/karthaeusernelke-dianthus-carthusianorum.html"
"Dianthus deltoides","Heide-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/heide-nelke-dianthus-deltoides.html"
"Dianthus deltoides","Heide-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/heidenelke-arctic-fire-dianthus-deltoides-arctic-fire.html"
"Dianthus deltoides","Heide-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/heidenelke-leuchtfunk-dianthus-deltoides-leuchtfunk.html"
"Dianthus gratianopolitanus","Pfingst-Nelke,Grenobler Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/pfingst-nelke-rosa-juwel-dianthus-gratianopolitanus-rosa-juwel.html"
"Dianthus superbus","Pracht-Nelke","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/pracht-nelke-dianthus-superbus.html"
"Dictamnus albus","Diptam","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/brennender-busch-diptam-dictamnus-albus.html"
"Digitalis grandiflora","Großblütiger Fingerhut","Staudengärtnerei StaudenSpatz",NA
"Digitalis lutea","Gelber Fingerhut","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/Gelber-Fingerhut--Digitalis-lutea--.html"
"Draba aizoides","Immergrünes Felsenblümchen,Hungerblümchen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/hungerbluemchen-draba-aizoides.html"
"Dryopteris cristata","Kammfarn","Staudengärtnerei StaudenSpatz",NA
"Echinocystis lobata","Stachelgurke,Gelappte Stachelgurke, Igelgurke","Staudengärtnerei StaudenSpatz",NA
"Eleocharis acicularis","Nadel-Sumpfbinse","Staudengärtnerei StaudenSpatz",NA
"Empetrum nigrum","Schwarze Krähenbeere","Staudengärtnerei StaudenSpatz",NA
"Epilobium palustre","Sumpf-Weidenröschen","Staudengärtnerei StaudenSpatz",NA
"Equisetum variegatum","Bunter Schachtelhalm","Staudengärtnerei StaudenSpatz",NA
"Erica carnea","Schnee-Heide","Staudengärtnerei StaudenSpatz",NA
"Eriophorum angustifolium","Schmalblättriges Wollgras","Staudengärtnerei StaudenSpatz",NA
"Eriophorum latifolium","Breitblättriges Wollgras","Staudengärtnerei StaudenSpatz",NA
