"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/campanula-glomerata-kn-uelglockenblume.html"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Blauetikett Bornträger",NA
"Campanula scheuchzeri","Scheuchzers Glockenblume","Blauetikett Bornträger",NA
"Carduus acanthoides","Weg-Distel","Blauetikett Bornträger",NA
"Carduus defloratus","Alpen-Distel","Blauetikett Bornträger",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Blauetikett Bornträger",NA
"Carex diandra","Draht-Segge","Blauetikett Bornträger",NA
"Carex ericetorum","Heide-Segge","Blauetikett Bornträger",NA
"Carex flava","Gelbe Segge","Blauetikett Bornträger",NA
"Carex humilis","Erd-Segge,Zwergsegge","Blauetikett Bornträger",NA
"Carex nigra","Wiesen-Segge","Blauetikett Bornträger",NA
"Carex pseudocyperus","Scheinzypergras-Segge","Blauetikett Bornträger",NA
"Carex sempervirens","Horst-Segge","Blauetikett Bornträger",NA
"Carex vulpina","Fuchs-Segge","Blauetikett Bornträger",NA
"Centaurea pseudophrygia","Perücken-Flockenblume","Blauetikett Bornträger",NA
"Ceratophyllum submersum","Zartes Hornblatt","Blauetikett Bornträger",NA
"Chenopodium bonus-henricus","Guter Heinrich","Blauetikett Bornträger",NA
"Chondrilla juncea","Großer Knorpellattich,Binsen-Knorpellattich","Blauetikett Bornträger",NA
"Cicerbita plumieri","Französischer Milchlattich","Blauetikett Bornträger",NA
"Cicuta virosa","Wasserschierling,Gift-Wasserschierling","Blauetikett Bornträger",NA
"Cirsium acaule","Stängellose Kratzdistel","Blauetikett Bornträger",NA
"Cirsium rivulare","Bach-Kratzdistel","Blauetikett Bornträger",NA
"Cirsium tuberosum","Knollen-Kratzdistel","Blauetikett Bornträger",NA
"Cladium mariscus","Binsen-Schneide","Blauetikett Bornträger",NA
"Colutea arborescens","Gelber Blasenstrauch","Blauetikett Bornträger",NA
"Conium maculatum","Gefleckter Schierling","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/conium-maculatum-fleckenschierling.html"
"Consolida regalis","Gewöhnlicher Feldrittersporn,Ackerrittersporn","Blauetikett Bornträger",NA
"Coronilla coronata","Berg-Kronwicke","Blauetikett Bornträger",NA
"Coronilla vaginalis","Scheiden-Kronwicke","Blauetikett Bornträger",NA
"Corydalis intermedia","Mittlerer Lerchensporn","Blauetikett Bornträger",NA
"Corynephorus canescens","Gewöhnliches Silbergras","Blauetikett Bornträger",NA
"Crepis tectorum","Dach-Pippau","Blauetikett Bornträger",NA
"Cyperus longus","Hohes Zypergras","Blauetikett Bornträger",NA
"Cytisus nigricans","Schwarzer Geißklee","Blauetikett Bornträger",NA
"Dactylorhiza incarnata","Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut","Blauetikett Bornträger",NA
"Daphne cneorum","Rosmarin-Seidelbast","Blauetikett Bornträger",NA
"Descurainia sophia","Gewöhnliche Besenrauke","Blauetikett Bornträger",NA
"Dianthus armeria","Raue Nelke,Büschel-Nelke","Blauetikett Bornträger",NA
"Dianthus carthusianorum","Karthäuser-Nelke","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-carthusianorum-karth-usernelke.html"
"Dianthus deltoides","Heide-Nelke","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-deltoides-heidenelke.html"
"Dianthus gratianopolitanus","Pfingst-Nelke,Grenobler Nelke","Blauetikett Bornträger",NA
"Dianthus superbus","Pracht-Nelke","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dianthus-superbus-prachtnelke.html"
"Dictamnus albus","Diptam","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/dictamnus-albus-diptam.html"
