"Species","Producer","URL"
"Artemisia campestris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Artemisia maritima","Rieger-Hofmann",NA
"Artemisia pontica","Rieger-Hofmann",NA
"Artemisia scoparia","Rieger-Hofmann",NA
"Artemisia verlotiorum","Rieger-Hofmann",NA
"Arum maculatum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Aruncus dioicus","Rieger-Hofmann",NA
"Asarum europaeum","Rieger-Hofmann",NA
"Asclepias syriaca","Rieger-Hofmann",NA
"Asperula cynanchica","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Asperula tinctoria","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Asplenium ruta-muraria","Rieger-Hofmann",NA
"Asplenium scolopendrium","Rieger-Hofmann",NA
"Asplenium trichomanes","Rieger-Hofmann",NA
"Aster alpinus","Rieger-Hofmann",NA
"Aster amellus","Rieger-Hofmann",NA
"Aster bellidiastrum","Rieger-Hofmann",NA
"Aster linosyris","Rieger-Hofmann",NA
"Aster macrophyllus","Rieger-Hofmann",NA
"Astragalus alpinus","Rieger-Hofmann",NA
"Astragalus cicer","Rieger-Hofmann",NA
"Astragalus glycyphyllos","Rieger-Hofmann",NA
"Astrantia bavarica","Rieger-Hofmann",NA
"Astrantia major","Rieger-Hofmann",NA
"Athamanta cretensis","Rieger-Hofmann",NA
"Atriplex calotheca","Rieger-Hofmann",NA
"Azolla filiculoides","Rieger-Hofmann",NA
"Baldellia ranunculoides","Rieger-Hofmann",NA
"Ballota nigra","Rieger-Hofmann",NA
"Barbarea stricta","Rieger-Hofmann",NA
"Barbarea vulgaris","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Bartsia alpina","Rieger-Hofmann",NA
"Berberis vulgaris","Rieger-Hofmann",NA
"Berteroa incana","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Berula erecta","Rieger-Hofmann",NA
"Betula humilis","Rieger-Hofmann",NA
"Betula nana","Rieger-Hofmann",NA
"Betula pubescens","Rieger-Hofmann",NA
"Bidens tripartita","Rieger-Hofmann",NA
"Biscutella laevigata","Rieger-Hofmann",NA
"Bistorta officinalis","Rieger-Hofmann",NA
"Blechnum spicant","Rieger-Hofmann",NA
"Bolboschoenus maritimus","Rieger-Hofmann",NA
"Brachypodium pinnatum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Brachypodium sylvaticum","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
