"Species","Producer","URL"
"Arum maculatum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/arum-maculatum-aronstab.html"
"Aruncus dioicus","Blauetikett Bornträger",NA
"Asarum europaeum","Blauetikett Bornträger",NA
"Asclepias syriaca","Blauetikett Bornträger",NA
"Asperula cynanchica","Blauetikett Bornträger",NA
"Asperula tinctoria","Blauetikett Bornträger",NA
"Asplenium ruta-muraria","Blauetikett Bornträger",NA
"Asplenium scolopendrium","Blauetikett Bornträger",NA
"Asplenium trichomanes","Blauetikett Bornträger",NA
"Aster alpinus","Blauetikett Bornträger",NA
"Aster amellus","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/aster-amellus-bergaster.html"
"Aster bellidiastrum","Blauetikett Bornträger",NA
"Aster linosyris","Blauetikett Bornträger",NA
"Aster macrophyllus","Blauetikett Bornträger",NA
"Astragalus alpinus","Blauetikett Bornträger",NA
"Astragalus cicer","Blauetikett Bornträger",NA
"Astragalus glycyphyllos","Blauetikett Bornträger",NA
"Astrantia bavarica","Blauetikett Bornträger",NA
"Astrantia major","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/astrantia-major-sterndolde.html"
"Athamanta cretensis","Blauetikett Bornträger",NA
"Atriplex calotheca","Blauetikett Bornträger",NA
"Azolla filiculoides","Blauetikett Bornträger",NA
"Baldellia ranunculoides","Blauetikett Bornträger",NA
"Ballota nigra","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/ballota-nigra-schwarznessel.html"
"Barbarea stricta","Blauetikett Bornträger",NA
"Barbarea vulgaris","Blauetikett Bornträger",NA
"Bartsia alpina","Blauetikett Bornträger",NA
"Berberis vulgaris","Blauetikett Bornträger",NA
"Berteroa incana","Blauetikett Bornträger",NA
"Berula erecta","Blauetikett Bornträger",NA
"Betula humilis","Blauetikett Bornträger",NA
"Betula nana","Blauetikett Bornträger",NA
"Betula pubescens","Blauetikett Bornträger",NA
"Bidens tripartita","Blauetikett Bornträger",NA
"Biscutella laevigata","Blauetikett Bornträger",NA
"Bistorta officinalis","Blauetikett Bornträger",NA
"Blechnum spicant","Blauetikett Bornträger",NA
"Bolboschoenus maritimus","Blauetikett Bornträger",NA
"Brachypodium pinnatum","Blauetikett Bornträger",NA
"Brachypodium sylvaticum","Blauetikett Bornträger",NA
"Brassica nigra","Blauetikett Bornträger",NA
"Briza media","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/briza-media-zittergras.html"
"Bromus erectus","Blauetikett Bornträger",NA
"Bryonia alba","Blauetikett Bornträger",NA
"Bryonia dioica","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/bryonia-dioica-rotfruechtige-zaunruebe.html"
"Buglossoides purpurocaerulea","Blauetikett Bornträger",NA
"Buphthalmum salicifolium","Blauetikett Bornträger",NA
"Bupleurum falcatum","Blauetikett Bornträger",NA
"Bupleurum longifolium","Blauetikett Bornträger",NA
"Bupleurum ranunculoides","Blauetikett Bornträger",NA
"Bupleurum rotundifolium","Blauetikett Bornträger",NA
"Butomus umbellatus","Blauetikett Bornträger",NA
"Cakile maritima","Blauetikett Bornträger",NA
"Calamagrostis arundinacea","Blauetikett Bornträger",NA
"Calamagrostis canescens","Blauetikett Bornträger",NA
"Calamagrostis pseudophragmites","Blauetikett Bornträger",NA
"Calamagrostis varia","Blauetikett Bornträger",NA
"Calamintha nepeta","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/calamintha-nepeta-echte-bergminze.html"
"Calendula arvensis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/calendula-arvensis-ackerringelblume.html"
"Calla palustris","Blauetikett Bornträger",NA
