"Species","Producer","URL"
"Anemone nemorosa","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/buschwindroeschen-rosea-anemone-nemorosa-rosea.html"
"Anemone ranunculoides","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gelbes-windroeschen-anemone-ranunculoides.html"
"Anemone sylvestris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-anemone-grosses-windroeschen-anemone-sylvestris.html"
"Angelica archangelica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/engelwurz-angelica-archangelica.html"
"Angelica palustris","Staudengärtnerei StaudenSpatz",NA
"Angelica sylvestris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/purpur-engelwurz-vicars-mead-angelica-sylvestris-vicars-mead.html"
"Angelica sylvestris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-engelwurz-angelica-sylvestris.html"
"Antennaria dioica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-antennaria-dioica.html"
"Antennaria dioica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-grillfeuer-antennaria-dioica-grillfeuer.html"
"Antennaria dioica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-rotes-wunder-antennaria-dioica-rotes-wunder.html"
"Anthemis arvensis","Staudengärtnerei StaudenSpatz",NA
"Anthemis austriaca","Staudengärtnerei StaudenSpatz",NA
"Anthemis tinctoria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerberkamille-anthemis-tinctoria.html"
"Anthemis tinctoria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerberkamille-e-c-buxton-anthemis-tinctoria-e-c-buxton.html"
"Anthericum liliago","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/traubige-graslilie-aehrige-graslilie-anthericum-liliago.html"
"Anthericum ramosum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/aestige-graslilie-anthericum-ramosum.html"
"Anthoxanthum odoratum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ruchgras-anthoxanthum-odoratum.html"
"Anthriscus cerefolium","Staudengärtnerei StaudenSpatz",NA
"Anthyllis vulneraria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnlicher-wundklee-anthyllis-vulneraria.html"
"Anthyllis vulneraria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/orangeroter-wundklee-anthyllis-vulneraria-ssp-coccinea.html"
"Antirrhinum orontium","Staudengärtnerei StaudenSpatz",NA
"Apium graveolens","Staudengärtnerei StaudenSpatz",NA
"Apium nodiflorum","Staudengärtnerei StaudenSpatz",NA
"Aquilegia atrata","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/dunkle-akelei-aquilegia-atrata.html"
"Aquilegia vulgaris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-akelei-aquilegia-vulgaris.html"
"Aquilegia vulgaris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-akelei-aquilegia-vulgaris-alba.html"
"Arabis alpina","Staudengärtnerei StaudenSpatz",NA
"Arabis hirsuta","Staudengärtnerei StaudenSpatz",NA
"Arctium tomentosum","Staudengärtnerei StaudenSpatz",NA
"Arctostaphylos uva-ursi","Staudengärtnerei StaudenSpatz",NA
"Armeria arenaria","Staudengärtnerei StaudenSpatz",NA
"Armeria maritima","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/strand-grasnelke-armeria-maritima.html"
"Arnica montana","Staudengärtnerei StaudenSpatz",NA
"Artemisia absinthium","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wermut-artemisia-absinthium.html"
"Artemisia austriaca","Staudengärtnerei StaudenSpatz",NA
"Artemisia campestris","Staudengärtnerei StaudenSpatz",NA
"Artemisia maritima","Staudengärtnerei StaudenSpatz",NA
"Artemisia pontica","Staudengärtnerei StaudenSpatz",NA
"Artemisia scoparia","Staudengärtnerei StaudenSpatz",NA
"Artemisia verlotiorum","Staudengärtnerei StaudenSpatz",NA
"Arum maculatum","Staudengärtnerei StaudenSpatz",NA
"Aruncus dioicus","Staudengärtnerei StaudenSpatz",NA
"Asarum europaeum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-haselwurz-asarum-europaeum.html"
"Asclepias syriaca","Staudengärtnerei StaudenSpatz",NA
"Asperula cynanchica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/huegelmeister-huegelmeier-asperula-cynanchica.html"
"Asperula tinctoria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerber-meister-faerber-meier-asperula-tinctoria.html"
"Asplenium ruta-muraria","Staudengärtnerei StaudenSpatz",NA
"Asplenium scolopendrium","Staudengärtnerei StaudenSpatz",NA
"Asplenium trichomanes","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/streifenfarn-asplenium-trichomanes.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-aster-alpinus.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-albus-aster-alpinus-albus.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-albus-plenus-aster-alpinus-albus-plenus.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-dunkle-schoene-aster-alpinus-dunkle-schoene.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-pinkie-aster-alpinus-pinkie.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/alpen-aster-sabine-aster-alpinus-sabine.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-dr-otto-petschek-aster-amellus-dr-otto-petschek.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-lady-hindlip-aster-amellus-lady-hindlip.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-rosa-erfuellung-aster-amellus-rosa-erfuellung.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-sternkugel-aster-amellus-sternkugel.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-veilchenkoenigin-aster-amellus-veilchenkoenigin.html"
"Aster amellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-kalk-aster-aster-amellus.html"
"Aster bellidiastrum","Staudengärtnerei StaudenSpatz",NA
"Aster linosyris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/goldhaar-aster-aster-linosyris.html"
"Aster macrophyllus","Staudengärtnerei StaudenSpatz",NA
"Astragalus alpinus","Staudengärtnerei StaudenSpatz",NA
"Astragalus cicer","Staudengärtnerei StaudenSpatz",NA
"Astragalus glycyphyllos","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/baerenschote-suesser-tragant-astragalus-glycyphyllos.html"
"Astrantia bavarica","Staudengärtnerei StaudenSpatz",NA
"Astrantia major","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/rote-sterndolde-abby-road-astrantia-major-abbey-road.html"
"Astrantia major","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sterndolde-astrantia-major.html"
"Astrantia major","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weisse-sterndolde-shaggy-margery-fish-astrantia-major-shaggy-margery-fish.html"
"Athamanta cretensis","Staudengärtnerei StaudenSpatz",NA
"Atriplex calotheca","Staudengärtnerei StaudenSpatz",NA
"Azolla filiculoides","Staudengärtnerei StaudenSpatz",NA
"Baldellia ranunculoides","Staudengärtnerei StaudenSpatz",NA
"Ballota nigra","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schwarznessel-ballota-nigra.html"
"Barbarea stricta","Staudengärtnerei StaudenSpatz",NA
"Barbarea vulgaris","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/barbarakraut-barbarea-vulgaris.html"
"Bartsia alpina","Staudengärtnerei StaudenSpatz",NA
"Berberis vulgaris","Staudengärtnerei StaudenSpatz",NA
"Berteroa incana","Staudengärtnerei StaudenSpatz",NA
"Berula erecta","Staudengärtnerei StaudenSpatz",NA
"Betula humilis","Staudengärtnerei StaudenSpatz",NA
"Betula nana","Staudengärtnerei StaudenSpatz",NA
"Betula pubescens","Staudengärtnerei StaudenSpatz",NA
"Bidens tripartita","Staudengärtnerei StaudenSpatz",NA
"Biscutella laevigata","Staudengärtnerei StaudenSpatz",NA
"Bistorta officinalis","Staudengärtnerei StaudenSpatz",NA
