"Species","Producer","URL"
"Angelica archangelica","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/angelica-archangelica-saatgut-kaufen.html"
"Angelica archangelica","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/angelica-archangelica-532-wildpflanze-naturnah.html"
"Angelica palustris","Hof Berg-Garten",NA
"Angelica sylvestris","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/angelica-sylvestris-saatgut-kaufen.html"
"Angelica sylvestris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/angelica-sylvestris-533-wildpflanze-naturnah.html"
"Antennaria dioica","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/antennaria-dioica-saatgut-kaufen.html"
"Antennaria dioica","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/antennaria-dioica-534-wildpflanze-naturnah.html"
"Anthemis arvensis","Hof Berg-Garten",NA
"Anthemis austriaca","Hof Berg-Garten",NA
"Anthemis tinctoria","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthemis-tinctoria-saatgut-kaufen.html"
"Anthemis tinctoria","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthemis-tinctoria-535-wildpflanze-naturnah.html"
"Anthericum liliago","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthericum-liliago-saatgut-kaufen.html"
"Anthericum liliago","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthericum-liliago-536-wildpflanze-naturnah.html"
"Anthericum ramosum","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthericum-ramosum-saatgut-kaufen.html"
"Anthericum ramosum","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthericum-ramosum-537-wildpflanze-naturnah.html"
"Anthoxanthum odoratum","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthoxanthum-odoratum-saatgut-kaufen.html"
"Anthriscus cerefolium","Hof Berg-Garten",NA
"Anthyllis vulneraria","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthyllis-vulneraria-saatgut-kaufen.html"
"Anthyllis vulneraria","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthyllis-vulneraria-539-wildpflanze-naturnah.html"
"Antirrhinum orontium","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/antirrhinum-orontium-saatgut-kaufen.html"
"Apium graveolens","Hof Berg-Garten",NA
"Apium nodiflorum","Hof Berg-Garten",NA
"Aquilegia atrata","Hof Berg-Garten",NA
"Aquilegia vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aquilegia-vulgaris-saatgut-kaufen.html"
"Aquilegia vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aquilegia-vulgaris-alba-wildpflanze-naturnah.html"
"Aquilegia vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aquilegia-vulgaris-541-wildpflanze-naturnah.html"
"Arabis alpina","Hof Berg-Garten",NA
"Arabis hirsuta","Hof Berg-Garten",NA
"Arctium tomentosum","Hof Berg-Garten",NA
"Arctostaphylos uva-ursi","Hof Berg-Garten",NA
"Armeria arenaria","Hof Berg-Garten",NA
"Armeria maritima","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/armeria-maritima-saatgut-kaufen.html"
"Armeria maritima","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/armeria-maritima-544-wildpflanze-naturnah.html"
"Arnica montana","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/arnica-montana-397-saatgut-kaufen.html"
"Artemisia absinthium","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/artemisia-absinthium-saatgut-kaufen.html"
"Artemisia absinthium","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/artemisia-absinthium-548-wildpflanze-naturnah.html"
"Artemisia austriaca","Hof Berg-Garten",NA
"Artemisia campestris","Hof Berg-Garten",NA
"Artemisia maritima","Hof Berg-Garten",NA
"Artemisia pontica","Hof Berg-Garten",NA
"Artemisia scoparia","Hof Berg-Garten",NA
"Artemisia verlotiorum","Hof Berg-Garten",NA
"Arum maculatum","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/arum-maculatum-wildpflanze-naturnah.html"
"Aruncus dioicus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aruncus-dioicus-saatgut-kaufen.html"
"Aruncus dioicus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aruncus-dioicus-552-wildpflanze-naturnah.html"
"Asarum europaeum","Hof Berg-Garten",NA
"Asclepias syriaca","Hof Berg-Garten",NA
"Asperula cynanchica","Hof Berg-Garten",NA
"Asperula tinctoria","Hof Berg-Garten",NA
"Asplenium ruta-muraria","Hof Berg-Garten",NA
"Asplenium scolopendrium","Hof Berg-Garten",NA
"Asplenium trichomanes","Hof Berg-Garten",NA
"Aster alpinus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aster-alpinus-wildpflanze-naturnah.html"
"Aster amellus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aster-amellus-saatgut-kaufen.html"
"Aster amellus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aster-amellus-556-wildpflanze-naturnah.html"
"Aster bellidiastrum","Hof Berg-Garten",NA
"Aster linosyris","Hof Berg-Garten",NA
"Aster macrophyllus","Hof Berg-Garten",NA
"Astragalus alpinus","Hof Berg-Garten",NA
"Astragalus cicer","Hof Berg-Garten",NA
"Astragalus glycyphyllos","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/astragalus-glycyphyllos-wildpflanze-naturnah.html"
"Astrantia bavarica","Hof Berg-Garten",NA
"Astrantia major","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/astrantia-major-saatgut-kaufen.html"
"Astrantia major","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/astrantia-major-561-wildpflanze-naturnah.html"
"Athamanta cretensis","Hof Berg-Garten",NA
"Atriplex calotheca","Hof Berg-Garten",NA
"Azolla filiculoides","Hof Berg-Garten",NA
"Baldellia ranunculoides","Hof Berg-Garten",NA
"Ballota nigra","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/ballota-nigra-wildpflanze-naturnah.html"
"Barbarea stricta","Hof Berg-Garten",NA
"Barbarea vulgaris","Hof Berg-Garten",NA
"Bartsia alpina","Hof Berg-Garten",NA
"Berberis vulgaris","Hof Berg-Garten",NA
"Berteroa incana","Hof Berg-Garten",NA
"Berula erecta","Hof Berg-Garten",NA
"Betula humilis","Hof Berg-Garten",NA
"Betula nana","Hof Berg-Garten",NA
"Betula pubescens","Hof Berg-Garten",NA
"Bidens tripartita","Hof Berg-Garten",NA
"Biscutella laevigata","Hof Berg-Garten",NA
"Bistorta officinalis","Hof Berg-Garten",NA
"Blechnum spicant","Hof Berg-Garten",NA
"Bolboschoenus maritimus","Hof Berg-Garten",NA
"Brachypodium pinnatum","Hof Berg-Garten",NA
"Brachypodium sylvaticum","Hof Berg-Garten",NA
"Brassica nigra","Hof Berg-Garten",NA
"Briza media","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/briza-media-saatgut-kaufen.html"
"Briza media","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/briza-media-565-wildpflanze-naturnah.html"
"Bromus erectus","Hof Berg-Garten",NA
"Bryonia alba","Hof Berg-Garten",NA
"Bryonia dioica","Hof Berg-Garten",NA
"Buglossoides purpurocaerulea","Hof Berg-Garten",NA
"Buphthalmum salicifolium","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/buphthalmum-salicifolium-saatgut-kaufen.html"
"Buphthalmum salicifolium","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/buphthalmum-salicifolium-566-wildpflanze-naturnah.html"
"Bupleurum falcatum","Hof Berg-Garten",NA
"Bupleurum longifolium","Hof Berg-Garten",NA
"Bupleurum ranunculoides","Hof Berg-Garten",NA
"Bupleurum rotundifolium","Hof Berg-Garten",NA
"Butomus umbellatus","Hof Berg-Garten",NA
"Cakile maritima","Hof Berg-Garten",NA
"Calamagrostis arundinacea","Hof Berg-Garten",NA
"Calamagrostis canescens","Hof Berg-Garten",NA
"Calamagrostis pseudophragmites","Hof Berg-Garten",NA
"Calamagrostis varia","Hof Berg-Garten",NA
"Calamintha nepeta","Hof Berg-Garten",NA
"Calendula arvensis","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/calendula-arvensis-saatgut-kaufen.html"
"Calla palustris","Hof Berg-Garten",NA
"Callitriche palustris","Hof Berg-Garten",NA
"Calluna vulgaris","Hof Berg-Garten",NA
"Caltha palustris","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/caltha-palustris-saatgut-kaufen.html"
"Caltha palustris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/caltha-palustris-569-wildpflanze-naturnah.html"
"Campanula bononiensis","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-bononiensis-wildpflanze-naturnah.html"
"Campanula cervicaria","Hof Berg-Garten",NA
"Campanula cochleariifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-cochleariifolia-wildpflanze-naturnah.html"
"Campanula glomerata","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-glomerata-saatgut-kaufen.html"
"Campanula glomerata","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-glomerata-573-wildpflanze-naturnah.html"
"Campanula latifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-latifolia-saatgut-kaufen.html"
"Campanula latifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-latifolia-574-wildpflanze-naturnah.html"
"Campanula latifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-latifolia-alba-wildpflanze-naturnah.html"
"Campanula patula","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-patula-saatgut-kaufen.html"
"Campanula persicifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-persicifolia-saatgut-kaufen.html"
"Campanula persicifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-persicifolia-576-wildpflanze-naturnah.html"
"Campanula rapunculus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-rapunculus-saatgut-kaufen.html"
"Campanula rhomboidalis","Hof Berg-Garten",NA
"Campanula rotundifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-rotundifolia-saatgut-kaufen.html"
"Campanula rotundifolia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-rotundifolia-578-wildpflanze-naturnah.html"
"Campanula scheuchzeri","Hof Berg-Garten",NA
"Campanula sibirica","Hof Berg-Garten",NA
"Campanula trachelium","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/campanula-trachelium-saatgut-kaufen.html"
"Campanula trachelium","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/campanula-trachelium-579-wildpflanze-naturnah.html"
"Cardamine alpina","Hof Berg-Garten",NA
"Cardamine amara","Hof Berg-Garten",NA
"Cardamine bulbifera","Hof Berg-Garten",NA
"Cardamine flexuosa","Hof Berg-Garten",NA
"Cardamine impatiens","Hof Berg-Garten",NA
"Cardamine pratensis","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/cardamine-pratensis-saatgut-kaufen.html"
"Cardamine pratensis","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cardamine-pratensis-581-wildpflanze-naturnah.html"
"Carduus acanthoides","Hof Berg-Garten",NA
"Carduus defloratus","Hof Berg-Garten",NA
"Carduus nutans","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/carduus-nutans-saatgut-kaufen.html"
"Carduus nutans","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/carduus-nutans-582-wildpflanze-naturnah.html"
"Carex acuta","Hof Berg-Garten",NA
"Carex alba","Hof Berg-Garten",NA
"Carex arenaria","Hof Berg-Garten",NA
"Carex brizoides","Hof Berg-Garten",NA
"Carex caryophyllea","Hof Berg-Garten",NA
"Carex davalliana","Hof Berg-Garten",NA
"Carex diandra","Hof Berg-Garten",NA
"Carex digitata","Hof Berg-Garten",NA
"Carex divulsa","Hof Berg-Garten",NA
"Carex elata","Hof Berg-Garten",NA
"Carex ericetorum","Hof Berg-Garten",NA
"Carex flacca","Hof Berg-Garten",NA
"Carex flava","Hof Berg-Garten",NA
"Carex humilis","Hof Berg-Garten",NA
"Carex leporina","Hof Berg-Garten",NA
"Carex montana","Hof Berg-Garten",NA
"Carex nigra","Hof Berg-Garten",NA
"Carex obtusata","Hof Berg-Garten",NA
"Carex ornithopoda","Hof Berg-Garten",NA
"Carex panicea","Hof Berg-Garten",NA
"Carex paniculata","Hof Berg-Garten",NA
"Carex pendula","Hof Berg-Garten",NA
"Carex pilulifera","Hof Berg-Garten",NA
"Carex pseudocyperus","Hof Berg-Garten",NA
"Carex remota","Hof Berg-Garten",NA
"Carex riparia","Hof Berg-Garten",NA
"Carex rostrata","Hof Berg-Garten",NA
"Carex sempervirens","Hof Berg-Garten",NA
"Carex spicata","Hof Berg-Garten",NA
"Carex sylvatica","Hof Berg-Garten",NA
"Carex umbrosa","Hof Berg-Garten",NA
"Carex vulpina","Hof Berg-Garten",NA
"Carlina acaulis","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/carlina-acaulis-585-wildpflanze-naturnah.html"
"Carlina vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/carlina-vulgaris-saatgut-kaufen.html"
"Carlina vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/carlina-vulgaris-586-wildpflanze-naturnah.html"
"Carum carvi","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/carum-carvi-saatgut-kaufen.html"
"Centaurea cyanus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-cyanus-saatgut-kaufen.html"
"Centaurea jacea","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-jacea-saatgut-kaufen.html"
"Centaurea jacea","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-jacea-587-wildpflanze-naturnah.html"
"Centaurea montana","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-montana-saatgut-kaufen.html"
"Centaurea montana","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-montana-588-wildpflanze-naturnah.html"
"Centaurea nigra","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-nigra-saatgut-kaufen.html"
"Centaurea nigra","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-nigra-589-wildpflanze-naturnah.html"
"Centaurea nigrescens","Hof Berg-Garten",NA
"Centaurea phrygia","Hof Berg-Garten",NA
"Centaurea pseudophrygia","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-pseudophrygia-wildpflanze-naturnah.html"
"Centaurea scabiosa","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-scabiosa-saatgut-kaufen.html"
"Centaurea scabiosa","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-scabiosa-591-wildpflanze-naturnah.html"
"Centaurea stoebe","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-stoebe-saatgut-kaufen.html"
"Centaurea stoebe","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/centaurea-stoebe-592-wildpflanze-naturnah.html"
"Centaurium erythraea","Hof Berg-Garten",NA
"Cephalanthera damasonium","Hof Berg-Garten",NA
"Cerastium arvense","Hof Berg-Garten",NA
"Ceratophyllum demersum","Hof Berg-Garten",NA
"Ceratophyllum submersum","Hof Berg-Garten",NA
"Cerinthe minor","Hof Berg-Garten",NA
"Chaerophyllum aromaticum","Hof Berg-Garten",NA
"Chaerophyllum aureum","Hof Berg-Garten",NA
"Chaerophyllum bulbosum","Hof Berg-Garten",NA
"Chaerophyllum hirsutum","Hof Berg-Garten",NA
"Chamaecytisus ratisbonensis","Hof Berg-Garten",NA
"Chamaecytisus supinus","Hof Berg-Garten",NA
"Chenopodium bonus-henricus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/chenopodium-bonus-henricus-saatgut-kaufen.html"
"Chenopodium bonus-henricus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/chenopodium-bonus-henricus-600-wildpflanze-naturnah.html"
"Chenopodium foliosum","Hof Berg-Garten",NA
"Chenopodium hybridum","Hof Berg-Garten",NA
"Chondrilla juncea","Hof Berg-Garten",NA
"Chrysosplenium alternifolium","Hof Berg-Garten",NA
"Cicerbita alpina","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/cicerbita-alpina-wildpflanze-naturnah.html"
