State,Species,Endangerment,NaturaDB
Baden-Württemberg,Cephalanthera longifolia,V,not in naturadb
Baden-Württemberg,Cephalanthera rubra,V,not in naturadb
Baden-Württemberg,Cerastium brachypetalum,V,not in naturadb
Baden-Württemberg,Cerastium dubium,0,not in naturadb
Baden-Württemberg,Ceratocephala falcata,0,not in naturadb
Baden-Württemberg,Cerinthe alpina,1,not in naturadb
Baden-Württemberg,Chenopodium glaucum,V,not in naturadb
Baden-Württemberg,Chenopodium murale,1,not in naturadb
Baden-Württemberg,Chenopodium opulifolium,G,not in naturadb
Baden-Württemberg,Chenopodium rubrum,3,not in naturadb
Baden-Württemberg,Chenopodium striatiforme,3,not in naturadb
Baden-Württemberg,Chenopodium urbicum,0,not in naturadb
Baden-Württemberg,Chenopodium vulvaria,1,not in naturadb
Baden-Württemberg,Chimaphila umbellata,0,not in naturadb
Baden-Württemberg,Chlorocrepis staticifolia,0,not in naturadb
Baden-Württemberg,Chondrilla chondrilloides,0,not in naturadb
Baden-Württemberg,Chrysanthemum segetum,0,not in naturadb
Baden-Württemberg,Cicendia filiformis,0,not in naturadb
Baden-Württemberg,Cochlearia pyrenaica,2,not in naturadb
Baden-Württemberg,Coeloglossum viride,2,not in naturadb
Baden-Württemberg,Conringia orientalis,1,not in naturadb
Baden-Württemberg,Corallorrhiza trifida,V,not in naturadb
Baden-Württemberg,Corispermum leptopterum,V,not in naturadb
Baden-Württemberg,Corispermum marschallii,1,not in naturadb
Baden-Württemberg,Coronopus squamatus,3,not in naturadb
Baden-Württemberg,Corrigiola litoralis,1,not in naturadb
Baden-Württemberg,Cotoneaster tomentosus,3,not in naturadb
Baden-Württemberg,Crepis alpestris,3,not in naturadb
Baden-Württemberg,Crepis foetida,3,not in naturadb
Baden-Württemberg,Crepis mollis,3,not in naturadb
Baden-Württemberg,Crepis praemorsa,2,not in naturadb
Baden-Württemberg,Crepis pulchra,V,not in naturadb
Baden-Württemberg,Crepis pyrenaica,R,not in naturadb
Baden-Württemberg,Crepis setosa,V,not in naturadb
Baden-Württemberg,Crocus albiflorus,1,not in naturadb
Baden-Württemberg,Cryptogramma crispa,2,not in naturadb
