State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Berlin,Luzula luzuloides,3,Half-shade to Shade,moist,N-poor,acidic,humus,to -23 °C (to Climatic zone 6),20,white,NA,NA,NA,NA,NA,yes,0-40 cm
Schleswig-Holstein,Luzula multiflora,V,Half-shade to Shade,wet to moist,N-poor,acidic,permeable to humus,NA,30,brown,NA,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Luzula nivea,3,Half-shade,moist,intermediate,NA,permeable to humus,to -23 °C (to Climatic zone 6),40,white,NA,NA,NA,NA,NA,yes,0-40 cm
Hamburg,Luzula pilosa,3,Sun to Shade,moist,N-poor,acidic,permeable to humus,to -23 °C (to Climatic zone 6),30,brown,NA,Butterflies (2 spp.),NA,2 spp. of mammals,NA,yes,0-40 cm
Saxony,Luzula sylvatica,3,Sun to Shade,wet to moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),50,brown,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
Berlin,Lychnis flos-cuculi,3,Sun,moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),80,rose,Bees (3 spp.),Butterflies (11 spp.),NA,NA,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Lychnis flos-cuculi,3,Sun,moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),80,rose,Bees (3 spp.),Butterflies (11 spp.),NA,NA,NA,NA,60-100 cm
Saarland,Lychnis flos-cuculi,V,Sun,moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),80,rose,Bees (3 spp.),Butterflies (11 spp.),NA,NA,NA,NA,60-100 cm
Saxony-Anhalt,Lychnis flos-cuculi,3,Sun,moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),80,rose,Bees (3 spp.),Butterflies (11 spp.),NA,NA,NA,NA,60-100 cm
Schleswig-Holstein,Lychnis flos-cuculi,3,Sun,moist,N-rich,NA,permeable to humus,to -23 °C (to Climatic zone 6),80,rose,Bees (3 spp.),Butterflies (11 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Lychnis viscaria,3,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Berlin,Lychnis viscaria,1,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Hamburg,Lychnis viscaria,0,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Hesse,Lychnis viscaria,3,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Lychnis viscaria,2,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Thuringia,Lychnis viscaria,1,Sun,moist to dry,N-rich,NA,permeable to normal,to -34 °C (to Climatic zone 4),50,rose,Bees,Butterflies (6 spp.),NA,NA,NA,NA,40-60 cm
Berlin,Lysimachia nemorum,0,Half-shade,wet,NA,NA,permeable to humus,to -17 °C (to Climatic zone 7),20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Lysimachia nemorum,2,Half-shade,wet,NA,NA,permeable to humus,to -17 °C (to Climatic zone 7),20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Hamburg,Lysimachia nemorum,1,Half-shade,wet,NA,NA,permeable to humus,to -17 °C (to Climatic zone 7),20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Lysimachia nemorum,V,Half-shade,wet,NA,NA,permeable to humus,to -17 °C (to Climatic zone 7),20,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Bavaria,Lysimachia punctata,1,Sun to Half-shade,wet to moist,N-rich,NA,permeable to humus,to -28 °C (to Climatic zone 5),80,yellow,Bees (4 spp.),NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Lysimachia thyrsiflora,3,Sun to Half-shade,wet,N-rich,NA,normal to loamy,to -23 °C (to Climatic zone 6),60,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,40-60 cm
