State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Mecklenburg-Western Pomerania,Lathyrus linifolius,V,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Lathyrus linifolius,3,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Saxony,Lathyrus linifolius,V,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Schleswig-Holstein,Lathyrus linifolius,2,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Lathyrus maritimus,R,Sun,moist to dry,N-poor,NA,permeable,NA,40,blue,NA,NA,NA,NA,NA,NA,0-40 cm
Berlin,Lathyrus niger,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Brandenburg,Lathyrus niger,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Bremen/Lower Saxony,Lathyrus niger,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hesse,Lathyrus niger,3,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Lathyrus niger,V,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
North Rhine-Westphalia,Lathyrus niger,3,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saxony,Lathyrus niger,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Lathyrus niger,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable,to -23 °C (to Climatic zone 6),90,pink,NA,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
