"species","avail"
"Paris quadrifolia","not available"
"Petasites spurius","not available"
"Phegopteris connectilis","not available"
"Pimpinella nigra","not available"
"Polygala comosa","not available"
"Polygala vulgaris","not available"
"Potamogeton crispus","not available"
"Rhododendron tomentosum","not available"
"Rosa dumalis","not available"
"Rubus parviflorus","not available"
"Rubus saxatilis","not available"
"Rumex conglomeratus","not available"
"Salix aurita","not available"
"Salix fragilis","not available"
"Scrophularia vernalis","not available"
"Selinum dubium","not available"
"Senecio aquaticus","not available"
"Senecio ovatus","not available"
"Sherardia arvensis","not available"
"Stellaria alsine","not available"
"Stellaria nemorum","not available"
"Turritis glabra","not available"
"Valerianella locusta","not available"
"Vicia tenuifolia","not available"
"Viola hirta","not available"
"Biscutella laevigata","not available"
"Abies alba","not available"
"Carex obtusata","not available"
"Cerinthe minor","not available"
"Genista anglica","not available"
"Ononis arvensis","not available"
"Pulsatilla pratensis","not available"
"Cephalanthera damasonium","not available"
"Picea abies","not available"
"Senecio erucifolius","not available"
"Sorbus torminalis","not available"
"Campanula sibirica","not available"
"Corydalis pumila","not available"
"Trisetum flavescens","not available"
"Ulmus glabra","not available"
"Valeriana sambucifolia","not available"
"Cardamine flexuosa","not available"
"Festuca altissima","not available"
"Prunus domestica","not available"
"Actaea spicata","not available"
"Viburnum opulus","not available"
"Artemisia verlotiorum","not available"
"Euphorbia dulcis","not available"
"Sambucus ebulus","not available"
"Chenopodium hybridum","not available"
"Dactylorhiza praetermissa","not available"
"Epilobium roseum","not available"
"Epipactis helleborine","not available"
"Eryngium maritimum","not available"
"Glaucium flavum","not available"
"HierochloÃ« odorata","not available"
"Salix bicolor","not available"
"Ulex europaeus","not available"
"Ambrosia artemisiifolia","not available"
"Buglossoides purpurocaerulea","not available"
"Calamagrostis arundinacea","not available"
"Carex arenaria","not available"
"Carex spicata","not available"
"Cerastium arvense","not available"
"Epilobium tetragonum","not available"
"Hylotelephium maximum","not available"
"Melampyrum pratense","not available"
"Rubus spectabilis","not available"
"Senecio sylvaticus","not available"
"Symphytum tuberosum","not available"
"Vicia villosa","not available"
"Allium strictum","not available"
"Carex divulsa","not available"
"Dryas octopetala","not available"
"Globularia bisnagarica","not available"
"Melampyrum sylvaticum","not available"
"Silene baccifera","not available"
"Tripolium pannonicum","not available"
"Aethusa cynapium","not available"
"Artemisia maritima","not available"
"Atriplex calotheca","not available"
"Azolla filiculoides","not available"
"Cakile maritima","not available"
"Cardamine impatiens","not available"
"Elodea canadensis","not available"
"Honckenya peploides","not available"
"Rosa mollis","not available"
"Rubus odoratus","not available"
"Rubus vulgaris","not available"
"Tilia platyphyllos","not available"
"Dichoropetalum carvifolia","not available"
"Verbascum pulverulentum","not available"
"Viscaria vulgaris","not available"
"Armeria arenaria","not available"
"Muscari racemosum","not available"
"Spergularia marina","not available"
"Vitis sylvestris","not available"
"Sorbus latifolia","not available"
"Cardamine bulbifera","not available"
"Centaurea phrygia","not available"
"Lonicera nigra","not available"
"Polygala amara","not available"
"Portulaca oleracea","not available"
"Rosa corymbifera","not available"
"Viscum album","not available"
"Iris aphylla","not available"
"Noccaea montana","not available"
"Rapistrum perenne","not available"
"Veronica spuria","not available"
"Carex acuta","not available"
