"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Calendula arvensis","Acker-Ringelblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Calla palustris","Sumpfkalla,Drachenwurz","Rieger-Hofmann",NA
"Campanula cervicaria","Borstige Glockenblume","Rieger-Hofmann",NA
"Campanula cochleariifolia","Zwerg-Glockenblume,Niedliche Glockenblume","Rieger-Hofmann",NA
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Rieger-Hofmann",NA
"Campanula scheuchzeri","Scheuchzers Glockenblume","Rieger-Hofmann",NA
"Carduus acanthoides","Weg-Distel","Rieger-Hofmann",NA
"Carduus defloratus","Alpen-Distel","Rieger-Hofmann",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Rieger-Hofmann",NA
"Carex diandra","Draht-Segge","Rieger-Hofmann",NA
"Carex ericetorum","Heide-Segge","Rieger-Hofmann",NA
"Carex flava","Gelbe Segge","Rieger-Hofmann",NA
"Carex humilis","Erd-Segge,Zwergsegge","Rieger-Hofmann",NA
"Carex nigra","Wiesen-Segge","Rieger-Hofmann",NA
"Carex pseudocyperus","Scheinzypergras-Segge","Rieger-Hofmann",NA
"Carex sempervirens","Horst-Segge","Rieger-Hofmann",NA
"Carex vulpina","Fuchs-Segge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Centaurea pseudophrygia","Perücken-Flockenblume","Rieger-Hofmann",NA
"Ceratophyllum submersum","Zartes Hornblatt","Rieger-Hofmann",NA
"Chenopodium bonus-henricus","Guter Heinrich","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Chondrilla juncea","Großer Knorpellattich,Binsen-Knorpellattich","Rieger-Hofmann",NA
"Cicerbita plumieri","Französischer Milchlattich","Rieger-Hofmann",NA
"Cicuta virosa","Wasserschierling,Gift-Wasserschierling","Rieger-Hofmann",NA
"Cirsium acaule","Stängellose Kratzdistel","Rieger-Hofmann",NA
"Cirsium rivulare","Bach-Kratzdistel","Rieger-Hofmann",NA
"Cirsium tuberosum","Knollen-Kratzdistel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Cladium mariscus","Binsen-Schneide","Rieger-Hofmann",NA
"Colutea arborescens","Gelber Blasenstrauch","Rieger-Hofmann",NA
"Conium maculatum","Gefleckter Schierling","Rieger-Hofmann",NA
"Consolida regalis","Gewöhnlicher Feldrittersporn,Ackerrittersporn","Rieger-Hofmann",NA
"Coronilla coronata","Berg-Kronwicke","Rieger-Hofmann",NA
"Coronilla vaginalis","Scheiden-Kronwicke","Rieger-Hofmann",NA
"Corydalis intermedia","Mittlerer Lerchensporn","Rieger-Hofmann",NA
"Corynephorus canescens","Gewöhnliches Silbergras","Rieger-Hofmann",NA
"Crepis tectorum","Dach-Pippau","Rieger-Hofmann",NA
"Cyperus longus","Hohes Zypergras","Rieger-Hofmann",NA
"Cytisus nigricans","Schwarzer Geißklee","Rieger-Hofmann",NA
"Dactylorhiza incarnata","Steifblättrige Fingerwurz,Fleischfarbenes Knabenkraut","Rieger-Hofmann",NA
"Daphne cneorum","Rosmarin-Seidelbast","Rieger-Hofmann",NA
"Descurainia sophia","Gewöhnliche Besenrauke","Rieger-Hofmann",NA
"Dianthus armeria","Raue Nelke,Büschel-Nelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=1"
"Dianthus carthusianorum","Karthäuser-Nelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Dianthus deltoides","Heide-Nelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Dianthus gratianopolitanus","Pfingst-Nelke,Grenobler Nelke","Rieger-Hofmann",NA
"Dianthus superbus","Pracht-Nelke","Rieger-Hofmann",NA
"Dictamnus albus","Diptam","Rieger-Hofmann",NA
"Digitalis grandiflora","Großblütiger Fingerhut","Rieger-Hofmann",NA
"Digitalis lutea","Gelber Fingerhut","Rieger-Hofmann",NA
"Draba aizoides","Immergrünes Felsenblümchen,Hungerblümchen","Rieger-Hofmann",NA
"Dryopteris cristata","Kammfarn","Rieger-Hofmann",NA
"Echinocystis lobata","Stachelgurke,Gelappte Stachelgurke, Igelgurke","Rieger-Hofmann",NA
"Eleocharis acicularis","Nadel-Sumpfbinse","Rieger-Hofmann",NA
"Empetrum nigrum","Schwarze Krähenbeere","Rieger-Hofmann",NA
"Epilobium palustre","Sumpf-Weidenröschen","Rieger-Hofmann",NA
"Equisetum variegatum","Bunter Schachtelhalm","Rieger-Hofmann",NA
"Erica carnea","Schnee-Heide","Rieger-Hofmann",NA
"Eriophorum angustifolium","Schmalblättriges Wollgras","Rieger-Hofmann",NA
"Eriophorum latifolium","Breitblättriges Wollgras","Rieger-Hofmann",NA
"Eriophorum vaginatum","Scheidiges Wollgras","Rieger-Hofmann",NA
"Eryngium campestre","Feld-Mannstreu","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Erysimum cheiri","Goldlack","Rieger-Hofmann",NA
"Erysimum crepidifolium","Bleicher Schöterich","Rieger-Hofmann",NA
"Erysimum odoratum","Duft-Schöterich","Rieger-Hofmann",NA
"Euphorbia esula","Esels-Wolfsmilch","Rieger-Hofmann",NA
"Euphorbia palustris","Sumpf-Wolfsmilch","Rieger-Hofmann",NA
"Euphorbia seguieriana","Steppen-Wolfsmilch","Rieger-Hofmann",NA
"Fagopyrum tataricum","Tatarischer Buchweizen,Falscher Buchweizen","Rieger-Hofmann",NA
"Festuca amethystina","Amethyst-Schwingel","Rieger-Hofmann",NA
"Festuca filiformis","Haar-Schafschwingel","Rieger-Hofmann",NA
"Filipendula vulgaris","Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Fragaria moschata","Zimt-Erdbeere,Moschus-Erdbeere","Rieger-Hofmann",NA
"Fritillaria meleagris","Schachbrettblume,Perlhuhn-Schachbrettblume","Rieger-Hofmann",NA
"Fumana procumbens","Gewöhnliches Nadelröschen","Rieger-Hofmann",NA
"Gagea villosa","Acker-Gelbstern,Acker-Goldstern","Rieger-Hofmann",NA
"Galeopsis ladanum","Breitblättriger Hohlzahn","Rieger-Hofmann",NA
"Galeopsis segetum","Saat-Hohlz","Rieger-Hofmann",NA
"Galium boreale","Nordisches Labkraut","Rieger-Hofmann",NA
"Galium glaucum","Blaugrünes Labkraut","Rieger-Hofmann",NA
"Galium pumilum","Heide-Labkraut,Triften-Labkraut, Zierliches Labkraut","Rieger-Hofmann",NA
"Genista germanica","Deutscher Ginster","Rieger-Hofmann",NA
"Genista pilosa","Sand-Ginster,Haar-Ginster","Rieger-Hofmann",NA
"Gentiana asclepiadea","Schwalbenwurz-Enzian","Rieger-Hofmann",NA
"Gentiana cruciata","Kreuz-Enzian,Gentiana cruciata subsp. cruciata","Rieger-Hofmann",NA
"Gentiana lutea","Gelber Enzian","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Gentiana pneumonanthe","Lungen-Enzian","Rieger-Hofmann",NA
"Gentiana verna","Frühlings-Enzian,Schusternagerl, Himmelsbläueli","Rieger-Hofmann",NA
"Gentianella germanica","Deutscher Kranzenzian,Deutscher Fransenenzian","Rieger-Hofmann",NA
"Gladiolus palustris","Sumpf-Siegwurz,Sumpf-Gladiole","Rieger-Hofmann",NA
"Globularia punctata","Echte Kugelblume","Rieger-Hofmann",NA
"Gratiola officinalis","Gottes-Gnadenkraut,Sumpfgnadenkraut","Rieger-Hofmann",NA
"Gymnadenia conopsea","Große Händelwurz,Mücken-Händelwurz","Rieger-Hofmann",NA
"Gypsophila muralis","Mauer-Gipskraut,Acker-Gipskraut","Rieger-Hofmann",NA
"Gypsophila repens","Kriechendes Gipskraut","Rieger-Hofmann",NA
"Helianthemum canum","Graues Sonnenröschen","Rieger-Hofmann",NA
"Helianthemum nummularium","Gelbes Sonnenröschen,Gewöhnliches Sonnenröschen","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Helichrysum arenarium","Sand-Strohblume","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
