"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Anagallis tenella","Zarter Gauchheil","Rieger-Hofmann",NA
"Anarrhinum bellidifolium","Lochschlund","Rieger-Hofmann",NA
"Anchusa arvensis","Acker-Ochsenzunge","Rieger-Hofmann",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Rieger-Hofmann",NA
"Anemone narcissiflora","Narzissen-Windröschen","Rieger-Hofmann",NA
"Anemone nemorosa","Busch-Windröschen","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Anemone ranunculoides","Gelbes Windröschen","Rieger-Hofmann",NA
"Anemone sylvestris","Großes Windröschen","Rieger-Hofmann",NA
"Angelica archangelica","Echte Engelwurz","Rieger-Hofmann",NA
"Angelica palustris","Sumpf-Engelwurz","Rieger-Hofmann",NA
"Angelica sylvestris","Wald-Engelwurz,Wilde Engelswurz","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Rieger-Hofmann",NA
"Anthemis arvensis","Acker-Hundskamille","Rieger-Hofmann",NA
"Anthemis austriaca","Österreichische Hundskamille","Rieger-Hofmann",NA
"Anthemis tinctoria","Färberkamille,Färber-Hundskamille","Rieger-Hofmann",NA
"Anthericum liliago","Traubige Graslilie,Astlose Graslilie","Rieger-Hofmann",NA
"Anthericum ramosum","Ästige Graslilie,Rispige Graslilie","Rieger-Hofmann",NA
"Anthoxanthum odoratum","Gewöhnliches Ruchgras","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/graeser.html?tt_products%5Bpp%5D=0"
"Anthriscus cerefolium","Echter Kerbel","Rieger-Hofmann",NA
"Anthyllis vulneraria","Gewöhnlicher Wundklee","Rieger-Hofmann",NA
"Antirrhinum orontium","Acker-Löwenmaul","Rieger-Hofmann",NA
"Apium graveolens","Sellerie","Rieger-Hofmann",NA
"Apium nodiflorum","Knotenblütiger Sellerie,Sumpfschirm","Rieger-Hofmann",NA
"Aquilegia atrata","Schwarzviolette Akelei","Rieger-Hofmann",NA
"Aquilegia vulgaris","Gemeine Akelei","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Arabis alpina","Alpen-Gänsekresse","Rieger-Hofmann",NA
"Arabis hirsuta","Behaarte Gänsekresse,Rauhaarige Gänsekresse","Rieger-Hofmann",NA
"Arctium tomentosum","Filz-Klette","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Arctostaphylos uva-ursi","Echte Bärentraube","Rieger-Hofmann",NA
"Armeria arenaria","Wegerich-Grasnelke","Rieger-Hofmann",NA
"Armeria maritima","Strand-Grasnelke","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Arnica montana","Echte Arnika","Rieger-Hofmann",NA
"Artemisia absinthium","Echter Wermut,Absinth","Rieger-Hofmann",NA
"Artemisia austriaca","Österreich-Wermut,Österreichischer Beifuß","Rieger-Hofmann",NA
"Artemisia campestris","Feld-Beifuß","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Artemisia maritima","Strand-Beifuß","Rieger-Hofmann",NA
"Artemisia pontica","Pontischer Beifuß,Römischer Wermut","Rieger-Hofmann",NA
"Artemisia scoparia","Besen-Beifuß","Rieger-Hofmann",NA
"Artemisia verlotiorum","Verlotscher Beifuß","Rieger-Hofmann",NA
"Arum maculatum","Gefleckter Aronstab","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Aruncus dioicus","Wald-Geißbart","Rieger-Hofmann",NA
"Asarum europaeum","Heimische Haselwurz,Gewöhnliche Haselwurz","Rieger-Hofmann",NA
"Asclepias syriaca","Gewöhnliche Seidenpflanze","Rieger-Hofmann",NA
"Asperula cynanchica","Hügel-Meier","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Asperula tinctoria","Färber-Meier","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Asplenium ruta-muraria","Mauer-Streifenfarn,Mauerraute","Rieger-Hofmann",NA
"Asplenium scolopendrium","Hirschzungenfarn,Hirschzunge","Rieger-Hofmann",NA
"Asplenium trichomanes","Braunstieliger Streifenfarn","Rieger-Hofmann",NA
"Aster alpinus","Alpen-Aster","Rieger-Hofmann",NA
"Aster amellus","Berg-Aster,Kalk-Aster","Rieger-Hofmann",NA
"Aster bellidiastrum","Alpenmaßlieb","Rieger-Hofmann",NA
