"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Thymus serpyllum","Sand-Thymian,Feld-Thymian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2832-SandThymian_Thymus_serpyllum.htm"
"Thymus serpyllum","Sand-Thymian,Feld-Thymian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3493-SandThymian_Thymus_serpyllum.htm"
"Thymus serpyllum","Sand-Thymian,Feld-Thymian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1225-WeiAer_SandThymian_Thymus_serpyllum_Alba.htm"
"Thymus serpyllum","Sand-Thymian,Feld-Thymian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2689-WeiAer_SandThymian_Thymus_serpyllum_Alba.htm"
"Thymus serpyllum","Sand-Thymian,Feld-Thymian","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-39521-WeiAer_SandThymian_Thymus_serpyllum_Alba.htm"
"Tilia platyphyllos","Sommer-Linde","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Tragopogon dubius","Großer Bocksbart","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2694-GroAer_Bocksbart_Tragopogon_dubius.htm"
"Tragopogon dubius","Großer Bocksbart","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41616-GroAer_Bocksbart_Tragopogon_dubius.htm"
"Tragopogon dubius","Großer Bocksbart","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41582-GroAer_Bocksbart_Tragopogon_dubius_SA.htm"
"Tragopogon porrifolius","Haferwurzel","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trapa natans","Wassernuss","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trichophorum cespitosum","Rasen-Haarsimse","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trientalis europaea","Siebenstern","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trifolium alpestre","Hügel-Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trifolium arvense","Hasenklee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-1035-HasenKlee_Trifolium_arvense_SA.htm"
"Trifolium arvense","Hasenklee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43364-HasenKlee_Trifolium_arvense_SA_fA¼r_10_qm.htm"
"Trifolium campestre","Feld-Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trifolium medium","Mittlerer Klee,Zickzack-Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43394-Mittlerer_Klee_Trifolium_medium.htm"
"Trifolium montanum","Berg-Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trifolium ochroleucum","Blassgelber Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-43254-Blassgelber_Klee_Trifolium_ochroleucum.htm"
"Trifolium pratense","Wiesenklee,Rotklee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-42098-RotKlee_Trifolium_pratense_SA.htm"
"Trifolium rubens","Purpur-Klee,Fuchsschwanz-Klee","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2696-PurpurKlee_Trifolium_rubens_zur_Zeit_nicht_lieferbar.htm"
"Triglochin maritimum","Strand-Dreizack,Salz-Dreizack, Röhrkohl","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-39147-StrandDreizack_Triglochin_maritimum.htm"
"Trinia glauca","Blaugrüner Faserschirm,Scherbet, Kleiner Faserschirm","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Tripolium pannonicum","Strand-Aster,Salz-Aster, Pannonien-Salzaster","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trisetum flavescens","Wiesen-Goldhafer","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Trollius europaeus","Europäische Trollblume","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2697-Europ_Trollblume_Trollius_europaeus.htm"
"Tulipa sylvestris","Wilde Tulpe,Weinbergstulpe, Wald-Tulpe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-573-WeinbergsTulpe_gelb_duftend_Tulipa_sylvestris_20_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm"
"Turritis glabra","Turmkraut,Turmkresse, Kahle Gänsekresse","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Typha angustifolia","Schmalblättriger Rohrkolben","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-829-SchmalblA¤ttriger_Rohrkolben_Typha_angustifolia.htm"
"Typha angustifolia","Schmalblättriger Rohrkolben","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41765-SchmalblA¤ttriger_Rohrkolben_Typha_angustifolia.htm"
"Typha minima","Zwerg-Rohrkolben","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-831-Kleiner_Rohrkolben_Typha_minima.htm"
"Typha minima","Zwerg-Rohrkolben","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41767-Kleiner_Rohrkolben_Typha_minima.htm"
"Typha shuttleworthii","Shuttleworths Rohrkolben,Grauer Rohrkolben","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Ulex europaeus","Stechginster","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Ulmus glabra","Berg-Ulme","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Ulmus laevis","Flatter-Ulme","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Ulmus minor","Feld-Ulme","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Utricularia vulgaris","Gewöhnlicher Wasserschlauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Vaccinium macrocarpon","Großfrüchtige Moosbeere,Large Cranberry","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Vaccinium myrtillus","Heidelbeere,Waldheidelbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-389-Heidelbeere_Vaccinium_myrtillus_kalkunvertrA¤glich_zur_Zeit_nicht_lieferbar.htm"
"Vaccinium myrtillus","Heidelbeere,Waldheidelbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41577-Heidelbeere_Vaccinium_myrtillus_kalkunvertrA¤glich_zur_Zeit_nicht_lieferbar.htm"
"Vaccinium oxycoccos","Gewöhnliche Moosbeere,Kranbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Vaccinium uliginosum","Rauschbeere,Moor-Heidelbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Vaccinium vitis-idaea","Preiselbeere,Kronsbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3076-Preiselbeere_Vaccinium_vitisidaea.htm"
"Vaccinium vitis-idaea","Preiselbeere,Kronsbeere","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-41578-Preiselbeere_Vaccinium_vitisidaea.htm"
