"species","avail"
"Potentilla anglica","not available"
"Potentilla incana","not available"
"Primula clusiana","not available"
"Primula hirsuta","not available"
"Prunus domestica","not available"
"Pulmonaria mollis","not available"
"Pulsatilla patens","not available"
"Pulsatilla pratensis","not available"
"Quercus pubescens","not available"
"Ranunculus montanus","not available"
"Ranunculus polyanthemos","not available"
"Rapistrum perenne","not available"
"Rhamnus saxatilis","not available"
"Rhododendron ferrugineum","not available"
"Rhododendron tomentosum","not available"
"Ribes petraeum","not available"
"Rorippa amphibia","not available"
"Rosa agrestis","not available"
"Rosa corymbifera","not available"
"Rosa dumalis","not available"
"Rosa elliptica","not available"
"Rosa majalis","not available"
"Rosa mollis","not available"
"Rosa sherardii","not available"
"Rubus chamaemorus","not available"
"Rubus nemoralis","not available"
"Rubus odoratus","not available"
"Rubus parviflorus","not available"
"Rubus saxatilis","not available"
"Rubus spectabilis","not available"
"Rubus ulmifolius","not available"
"Rubus vulgaris","not available"
"Rumex aquaticus","not available"
"Rumex conglomeratus","not available"
"Rumex hydrolapathum","not available"
"Rumex longifolius","not available"
"Rumex maritimus","not available"
"Sagina nodosa","not available"
"Salix alpina","not available"
"Salix aurita","not available"
"Salix bicolor","not available"
"Salix fragilis","not available"
"Salix herbacea","not available"
"Salix myrtilloides","not available"
"Salix reticulata","not available"
"Salix starkeana","not available"
"Sambucus ebulus","not available"
"Saxifraga aizoides","not available"
"Schoenoplectus tabernaemontani","not available"
"Schoenus nigricans","not available"
"Scleranthus perennis","not available"
"Scorzonera austriaca","not available"
"Scorzonera hispanica","not available"
"Scorzonera purpurea","not available"
"Scrophularia auriculata","not available"
"Scrophularia vernalis","not available"
"Sedum dasyphyllum","not available"
"Selinum dubium","not available"
"Senecio aquaticus","not available"
"Senecio erucifolius","not available"
"Senecio ovatus","not available"
"Senecio paludosus","not available"
"Senecio sarracenicus","not available"
"Senecio subalpinus","not available"
"Senecio sylvaticus","not available"
"Seseli hippomarathrum","not available"
"Sherardia arvensis","not available"
"Sibbaldia procumbens","not available"
"Silene baccifera","not available"
"Silene otites","not available"
"Sisymbrium loeselii","not available"
"Sisymbrium orientale","not available"
"Sium latifolium","not available"
"Sorbus latifolia","not available"
"Sorbus torminalis","not available"
"Spergularia marina","not available"
"Spergularia media","not available"
"Spergularia rubra","not available"
"Staphylea pinnata","not available"
"Stellaria alsine","not available"
"Stellaria nemorum","not available"
"Symphytum tuberosum","not available"
"Tamus communis","not available"
"Tephroseris helenitis","not available"
"Teucrium botrys","not available"
"Thesium bavarum","not available"
"Thlaspi montanum","not available"
"Tilia platyphyllos","not available"
"Trapa natans","not available"
"Trichophorum cespitosum","not available"
"Trientalis europaea","not available"
"Trifolium alpestre","not available"
"Trinia glauca","not available"
"Tripolium pannonicum","not available"
"Trisetum flavescens","not available"
"Turritis glabra","not available"
"Typha shuttleworthii","not available"
"Ulex europaeus","not available"
"Ulmus glabra","not available"
"Ulmus laevis","not available"
"Ulmus minor","not available"
"Utricularia vulgaris","not available"
"Vaccinium macrocarpon","not available"
"Vaccinium oxycoccos","not available"
"Vaccinium uliginosum","not available"
"Valeriana sambucifolia","not available"
"Valerianella locusta","not available"
"Verbascum phlomoides","not available"
"Verbascum pulverulentum","not available"
"Veronica spuria","not available"
"Viburnum opulus","not available"
"Vicia cassubica","not available"
"Vicia dumetorum","not available"
"Vicia tenuifolia","not available"
"Vicia tetrasperma","not available"
"Vicia villosa","not available"
"Viola elatior","not available"
"Viola hirta","not available"
"Viola rupestris","not available"
"Viscaria vulgaris","not available"
"Viscum album","not available"
"Vitis sylvestris","not available"
"Woodsia ilvensis","not available"
