"Bundesland","species","rl_cat","price","size"
"Schleswig-Holstein","Pulsatilla vulgaris","1",3.8,"Tb 8 oder 9"
"Schleswig-Holstein","Ranunculus bulbosus","3",3.8,"Tb 9"
"Schleswig-Holstein","Sedum sexangulare","3",3.2,"Tb 8 oder 9"
"Schleswig-Holstein","Teucrium scorodonia","2",3.4,"Tb 9"
"Schleswig-Holstein","Thymus pulegioides","3",11.5,"Portion"
"Schleswig-Holstein","Thymus serpyllum","2",3.4,"Tb 8 oder 9"
"Thüringen","Allium rotundum","2",14.9,"10 St."
"Thüringen","Allium schoenoprasum","3",3.2,"Tb 9"
"Thüringen","Amelanchier ovalis","3",33,"Tb 3 Liter 30/40"
"Thüringen","Antennaria dioica","3",3.4,"Tb 8 oder 9"
"Thüringen","Artemisia absinthium","3",4.4,"Tb 9"
"Thüringen","Artemisia pontica","1",4.4,"Tb 11"
"Thüringen","Asplenium trichomanes","2",4.4,"Tb 9"
"Thüringen","Carex humilis","2",3.8,"Tb 8 oder 9"
"Thüringen","Carex panicea","2",3.8,"Tb 9"
"Thüringen","Carex umbrosa","1",3.4,"Tb 9"
"Thüringen","Centaurea montana","2",4.4,"Tb 9"
"Thüringen","Corydalis solida","1",4.8,"Tb 9, 5 St."
"Thüringen","Dianthus gratianopolitanus","1",3.8,"Tb 9"
"Thüringen","Fumana procumbens","3",4.4,"Tb 9"
"Thüringen","Helleborus viridis","1",6.2,"Tb 9"
"Thüringen","Marrubium vulgare","3",4.4,"Tb 11"
"Thüringen","Melica ciliata","3",3.4,"Tb 8 oder 9"
"Thüringen","Muscari botryoides","2",6.2,"20 St."
"Thüringen","Muscari comosum","2",7,"15 St."
"Thüringen","Polystichum aculeatum","2",4.8,"Tb 11"
"Thüringen","Potentilla recta","1",3.2,"Tb 9"
"Thüringen","Potentilla rupestris","3",3.8,"Tb 9"
"Thüringen","Prunella grandiflora","1",12.5,"Portion"
"Thüringen","Ruta graveolens","0",4.4,"Tb 11"
"Thüringen","Sagina subulata","3",3.2,"Tb 9"
"Thüringen","Sedum album","3",0.95,"0 (Lieferung in der Regel im Topf)"
"Thüringen","Sedum sexangulare","1",0.95,"0 (Lieferung in der Regel im Topf)"
"Thüringen","Stipa capillata","3",4.4,"Tb 8 oder 9"
"Thüringen","Stipa pennata","3",4.4,"Tb 8 oder 9"
"Thüringen","Teucrium montanum","2",6,"Tb 11"
"Thüringen","Teucrium scorodonia","3",3.4,"Tb 9"
"Thüringen","Thymus serpyllum","0",3.4,"Tb 8 oder 9"
"Thüringen","Tulipa sylvestris","1",12.9,"20 St."
