"species","url"
"Matteuccia struthiopteris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Matteuccia%20struthiopteris"
"Melica ciliata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Melica%20ciliata"
"Mentha pulegium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Mentha%20pulegium"
"Menyanthes trifoliata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Menyanthes%20trifoliata"
"Meum athamanticum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Meum%20athamanticum"
"Muscari botryoides","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Muscari%20botryoides"
"Muscari comosum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Muscari%20comosum"
"Muscari neglectum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Muscari%20neglectum"
"Myosotis rehsteineri","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Myosotis%20rehsteineri"
"Nepeta cataria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Nepeta%20cataria"
"Onopordum acanthium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Onopordum%20acanthium"
"Ornithogalum nutans","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ornithogalum%20nutans"
"Osmunda regalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Osmunda%20regalis"
"Peucedanum cervaria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Peucedanum%20cervaria"
"Peucedanum officinale","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Peucedanum%20officinale"
"Peucedanum ostruthium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Peucedanum%20ostruthium"
"Peucedanum palustre","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Peucedanum%20palustre"
"Polemonium caeruleum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Polemonium%20caeruleum"
