"Species","Producer","URL"
"Artemisia absinthium","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/wermut-artemisia-absinthium.html"
"Artemisia austriaca","Staudengärtnerei StaudenSpatz",NA
"Artemisia campestris","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/feld-beifuss-artemisia-campestris.html"
"Artemisia maritima","Staudengärtnerei StaudenSpatz",NA
"Artemisia pontica","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/roemischer-wermut-artemisia-pontica.html"
"Artemisia scoparia","Staudengärtnerei StaudenSpatz",NA
"Artemisia verlotiorum","Staudengärtnerei StaudenSpatz",NA
"Arum maculatum","Staudengärtnerei StaudenSpatz",NA
"Aruncus dioicus","Staudengärtnerei StaudenSpatz",NA
"Asarum europaeum","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/gewoehnliche-haselwurz-asarum-europaeum.html"
"Asclepias syriaca","Staudengärtnerei StaudenSpatz",NA
"Asperula cynanchica","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/huegelmeister-huegelmeier-asperula-cynanchica.html"
"Asperula tinctoria","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/faerber-meister-faerber-meier-asperula-tinctoria.html"
"Asplenium ruta-muraria","Staudengärtnerei StaudenSpatz",NA
"Asplenium scolopendrium","Staudengärtnerei StaudenSpatz",NA
"Asplenium trichomanes","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/streifenfarn-asplenium-trichomanes.html"
"Aster alpinus","Staudengärtnerei StaudenSpatz",NA
"Aster amellus","Staudengärtnerei StaudenSpatz",NA
"Aster bellidiastrum","Staudengärtnerei StaudenSpatz",NA
"Aster linosyris","Staudengärtnerei StaudenSpatz",NA
"Aster macrophyllus","Staudengärtnerei StaudenSpatz",NA
"Astragalus alpinus","Staudengärtnerei StaudenSpatz",NA
"Astragalus cicer","Staudengärtnerei StaudenSpatz",NA
"Astragalus glycyphyllos","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/baerenschote-suesser-tragant-astragalus-glycyphyllos.html"
"Astrantia bavarica","Staudengärtnerei StaudenSpatz",NA
"Astrantia major","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/sterndolde-astrantia-major.html"
"Athamanta cretensis","Staudengärtnerei StaudenSpatz",NA
"Atriplex calotheca","Staudengärtnerei StaudenSpatz",NA
"Azolla filiculoides","Staudengärtnerei StaudenSpatz",NA
"Baldellia ranunculoides","Staudengärtnerei StaudenSpatz",NA
